pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state,overlapping_special_election,dem_actual,rep_actual,other_actual,rep_won
Potomac,2005/10/27,2005/11/01,1008.0,LV,32,43,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2005/11/16,2005/11/16,500.0,LV,41,49,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/01/10,2006/01/10,500.0,LV,45,40,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/02/19,2006/02/19,500.0,LV,35,49,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Gonzales Res.,2006/04/04,2006/04/13,819.0,RV,35,49,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/04/18,2006/04/18,500.0,LV,35,45,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Washington Post,2006/06/19,2006/06/25,902.0,RV,40,52,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2006/07/06,2006/07/10,1200.0,LV,36,47,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/07/10,2006/07/10,500.0,LV,41,47,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Pub Op Str (R),2006/08/01,2006/08/02,500.0,RV,35,43,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/08/09,2006/08/09,500.0,LV,42,47,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Gonzales Res.,2006/08/18,2006/08/25,625.0,LV,39,44,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Zogby Interactive*,2006/08/29,2006/09/05,,,40,49,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/09/13,2006/09/13,500.0,LV,43,50,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2006/09/15,2006/09/18,815.0,LV,40,51,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
SurveyUSA,2006/09/17,2006/09/19,522.0,LV,48,47,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Zogby Interactive*,2006/09/19,2006/09/25,,,39,52,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Mason-Dixon,2006/09/22,2006/09/26,625.0,LV,41,47,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
VC Research (R),2006/09/27,2006/09/28,602.0,LV,39,44,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
USA Today/Gallup,2006/09/27,2006/10/01,678.0,LV,39,54,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Reuters/Zogby,2006/09/25,2006/10/02,600.0,LV,37,45,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Pub Op Str (R),2006/10/02,2006/10/04,800.0,RV,43,47,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/10/10,2006/10/10,500.0,LV,44,53,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Zogby Interactive *,2006/10/10,2006/10/16,664.0,LV,43,51,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
SurveyUSA,2006/10/15,2006/10/17,698.0,LV,46,46,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
VC Research (R),2006/10/22,2006/10/23,602.0,LV,39,41,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Garin Hart Yang (D),2006/10/23,2006/10/24,,LV,40,52,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Washington Post,2006/10/22,2006/10/26,1003.0,LV,43,54,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Rasmussen,2006/10/26,2006/10/26,500.0,LV,45,50,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Zogby Interactive*,2006/10/23,2006/10/27,,LV,44,53,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Baltimore Sun,2006/10/28,2006/10/30,800.0,LV,43,49,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Reuters/Zogby,2006/10/24,2006/10/31,600.0,LV,44,49,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
SurveyUSA,2006/10/31,2006/11/02,694.0,LV,47,47,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Pub Op Str (R),2006/08/01,2006/08/02,500.0,RV,NA,10,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Gonzales Res.,2006/08/18,2006/08/25,625.0,LV,NA,6,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
SurveyUSA,2006/09/08,2006/09/10,424.0,LV,NA,8,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2005/04/11,2005/04/13,1000.0,LV,NA,16,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2005/10/27,2005/11/01,1008.0,LV,NA,4,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Garin Hart Yang (D),2006/04/03,2006/04/06,505.0,LDV,NA,4,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Gonzales Res.,2006/04/04,2006/04/13,423.0,LDV,NA,8,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Washington Post,2006/06/19,2006/06/25,494.0,RDV,NA,10,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
Potomac,2006/07/06,2006/07/10,604.0,LDV,NA,4,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
SurveyUSA,2006/08/28,2006/08/30,510.0,LV,NA,8,NA,2006,maryland,NA,54.2055954083314,44.1954277571823,1.59897683448625,0
USA Today/Gallup,2006/11/01,2006/11/04,874.0,LV,41,50,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Reuters/Zogby,2006/10/24,2006/10/31,600.0,LV,46,47,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Mason-Dixon,2006/10/31,2006/11/02,625.0,LV,47,47,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/11/04,2006/11/04,500.0,LV,48,50,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Mason-Dixon,2005/12/13,2005/12/15,625.0,RV,49,36,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Mason-Dixon,2005/05/23,2005/05/25,625.0,LV,50,26,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/01/09,2006/01/09,500.0,LV,45,45,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2005/09/08,2005/09/08,500.0,LV,51,38,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/05/11,2006/05/11,500.0,LV,44,48,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/02/07,2006/02/07,500.0,LV,46,46,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/03/14,2006/03/14,500.0,LV,43,46,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/04/11,2006/04/11,500.0,LV,47,44,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/08/08,2006/08/08,500.0,LV,47,47,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Ayres McHenry (R),2006/04/25,2006/04/27,600.0,,42,48,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/09/20,2006/09/20,500.0,LV,43,50,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Mason-Dixon,2006/05/22,2006/05/24,625.0,LV,42,45,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/09/12,2006/09/12,500.0,LV,43,52,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Lake Research (D),2006/08/08,2006/08/10,600.0,LV,37,44,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Reuters/Zogby,2006/09/25,2006/10/02,607.0,LV,42,46,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/10/18,2006/10/18,500.0,LV,46,49,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
USA Today/Gallup,2006/08/23,2006/08/27,641.0,LV,45,48,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Mason-Dixon,2006/09/26,2006/09/28,625.0,LV,40,47,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/10/11,2006/10/11,500.0,LV,44,50,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Mason-Dixon,2006/10/17,2006/10/19,625.0,LV,43,46,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/10/26,2006/10/26,500.0,LV,48,51,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Harstad Strategic Res. (D),2006/10/24,2006/10/25,662.0,LV,42,48,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/11/01,2006/11/01,500.0,LV,46,50,NA,2006,montana,NA,49.1617569279591,48.285506943334,2.5527361287069,0
Rasmussen,2006/09/06,2006/09/06,500.0,LV,50,41,NA,2006,nevada,NA,40.989954889696,55.3581359900579,3.65190912024608,1
Research 2000,2006/09/05,2006/09/07,600.0,LV,56,35,NA,2006,nevada,NA,40.989954889696,55.3581359900579,3.65190912024608,1
Zogby Interactive*,2006/10/10,2006/10/16,547.0,LV,52,43,NA,2006,nevada,NA,40.989954889696,55.3581359900579,3.65190912024608,1
Mason-Dixon,2006/09/19,2006/09/21,625.0,LV,58,35,NA,2006,nevada,NA,40.989954889696,55.3581359900579,3.65190912024608,1
Zogby Interactive*,2006/09/19,2006/09/25,,,49,42,NA,2006,nevada,NA,40.989954889696,55.3581359900579,3.65190912024608,1
Research 2000,2006/10/23,2006/10/25,600.0,LV,55,41,NA,2006,nevada,NA,40.989954889696,55.3581359900579,3.65190912024608,1
Rasmussen,2006/10/17,2006/10/17,500.0,LV,52,43,NA,2006,nevada,NA,40.989954889696,55.3581359900579,3.65190912024608,1
Zogby Interactive*,2006/10/23,2006/10/27,,LV,58,37,NA,2006,nevada,NA,40.989954889696,55.3581359900579,3.65190912024608,1
Rasmussen,2006/11/01,2006/11/01,500.0,LV,43,48,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Mason-Dixon,2006/11/01,2006/11/03,625.0,LV,41,48,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Marist,2006/11/01,2006/11/03,619.0,LV,42,50,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Monmouth/Gannett,2006/11/01,2006/11/03,1086.0,LV,42,45,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
USA Today/Gallup,2006/11/01,2006/11/04,877.0,LV,40,50,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/10/30,2006/11/05,917.0,LV,43,48,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2005/11/16,2005/11/20,1111.0,RV,39,41,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2005/12/07,2005/12/07,500.0,LV,34,38,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2005/12/10,2005/12/13,689.0,RV,38,44,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/01/03,2006/01/10,707.0,RV,36,25,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/01/18,2006/01/18,500.0,LV,42,35,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/01/18,2006/01/23,961.0,RV,36,38,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/02/03,2006/02/05,800.0,LV,33,28,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Zogby,2006/02/08,2006/02/10,802.0,LV,32,37,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/02/14,2006/02/14,500.0,LV,36,39,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/02/27,2006/03/06,601.0,RV,37,42,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/03/06,2006/03/08,800.0,LV,32,30,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/03/08,2006/03/14,1147.0,RV,36,40,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/03/28,2006/03/28,500.0,LV,41,39,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rutgers-Eagleton Poll,2006/03/26,2006/03/30,676.0,RV,35,40,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/03/27,2006/04/02,685.0,RV,42,38,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/04/07,2006/04/09,800.0,LV,34,32,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/04/11,2006/04/11,500.0,LV,43,36,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/04/18,2006/04/24,1414.0,RV,34,40,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/05/12,2006/05/14,800.0,LV,35,35,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/05/16,2006/05/16,500.0,LV,40,37,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/06/07,2006/06/13,1099.0,RV,36,43,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/06/16,2006/06/18,800.0,LV,36,38,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rutgers-Eagleton Poll,2006/06/14,2006/06/19,699.0,RV,38,42,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/06/21,2006/06/21,500.0,LV,40,46,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/07/07,2006/07/09,800.0,LV,37,43,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/07/08,2006/07/12,985.0,RV,40,38,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Monmouth/Gannett,2006/07/11,2006/07/13,802.0,A,37,38,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/07/10,2006/07/16,675.0,RV,40,43,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/07/25,2006/07/25,500.0,LV,38,44,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
POS (R),2006/07/31,2006/08/02,500.0,LV,39,38,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/08/11,2006/08/13,800.0,LV,40,42,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Zogby Interactive*,2006/08/15,2006/08/21,715.0,LV,41,43,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/08/21,2006/08/27,651.0,RV,43,39,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/08/28,2006/08/28,500.0,LV,44,39,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Zogby Interactive*,2006/08/29,2006/09/05,761.0,LV,40,40,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/09/08,2006/09/10,800.0,LV,44,40,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/09/13,2006/09/18,688.0,LV,48,45,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Monmouth/Gannett,2006/09/18,2006/09/21,391.0,LV,44,38,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/09/22,2006/09/22,500.0,LV,41,40,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Zogby Interactive*,2006/09/19,2006/09/25,,,41,47,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rutgers-Eagleton,2006/09/24,2006/09/26,404.0,LV,44,45,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Mason-Dixon,2006/09/24,2006/09/27,625.0,LV,41,44,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Marist,2006/09/28,2006/09/28,460.0,RV,42,37,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
USA Today/Gallup,2006/09/27,2006/10/01,542.0,LV,43,46,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/09/29,2006/10/01,800.0,LV,46,41,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Reuters/Zogby,2006/09/25,2006/10/02,600.0,LV,35,46,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/09/27,2006/10/02,514.0,LV,39,46,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/10/04,2006/10/10,761.0,LV,45,49,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/10/11,2006/10/11,500.0,LV,40,44,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Zogby Interactive *,2006/10/10,2006/10/16,902.0,LV,47,45,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Monmouth/Gannett,2006/10/16,2006/10/19,396.0,LV,39,48,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Mason-Dixon,2006/10/18,2006/10/21,625.0,LV,42,45,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
LA Times/Bloomberg,2006/10/20,2006/10/23,314.0,LV,41,45,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
CBS News/NY Times,2006/10/20,2006/10/25,522.0,LV,39,40,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Research 2000,2006/10/23,2006/10/25,600.0,LV,42,48,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
"Bennett, Petts (D)",2006/10/23,2006/10/25,800.0,RV,36,45,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/10/25,2006/10/25,500.0,LV,45,45,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Zogby Interactive*,2006/10/23,2006/10/27,,LV,43,49,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rasmussen,2006/10/28,2006/10/28,500.0,LV,44,49,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Quinnipiac,2006/10/23,2006/10/29,887.0,LV,44,49,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
CNN,2006/10/26,2006/10/29,577.0,LV,44,51,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Strategic Vision (R),2006/10/27,2006/10/29,800.0,LV,42,43,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Reuters/Zogby,2006/10/24,2006/10/31,600.0,LV,37,49,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Fairleigh Dickinson,2006/10/25,2006/10/31,577.0,LV,38,48,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Rutgers-Eagleton,2006/10/29,2006/10/31,500.0,LV,42,46,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
Pub Op Str (R),2006/10/31,2006/11/02,600.0,LV,41,43,NA,2006,new-jersey,NA,53.3691396267672,44.3441759589702,2.28668441426267,0
