pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state,overlapping_special_election
PPP (D)*,2020/10/27,2020/10/28,661,LV,44,47,,2020,georgia,1
WSB-TV/Landmark*,2020/10/28,2020/10/28,750,LV,47,47,,2020,georgia,1
Monmouth*,2020/10/23,2020/10/27,504,LV,47,49,,2020,georgia,1
CBS News/YouGov,2020/10/20,2020/10/23,1090,LV,47,46,,2020,georgia,1
WSB-TV/Landmark,2020/10/21,2020/10/21,500,LV,50,45,,2020,georgia,1
Emerson,2020/10/17,2020/10/19,506,LV,46,45,,2020,georgia,1
Atlanta Journal-Constitution,2020/10/14,2020/10/23,1145,LV,45,46,,2020,georgia,1
NY Times/Siena*,2020/10/13,2020/10/19,759,LV,43,43,,2020,georgia,1
WXIA-TV/SurveyUSA,2020/10/08,2020/10/12,677,LV,46,43,,2020,georgia,1
Quinnipiac,2020/10/08,2020/10/12,1040,LV,45,51,,2020,georgia,1
PPP (D)*,2020/10/08,2020/10/09,528,LV,43,44,,2020,georgia,1
WSB-TV/Landmark*,2020/10/07,2020/10/07,600,LV,47,46,,2020,georgia,1
Atlanta Journal-Constitution*,2020/09/27,2020/10/06,1106,LV,49,41,,2020,georgia,1
Quinnipiac,2020/09/23,2020/09/27,1125,LV,48,49,,2020,georgia,1
CBS News/YouGov,2020/09/22,2020/09/25,1142,LV,47,42,,2020,georgia,1
Monmouth*,2020/09/17,2020/09/21,402,LV,48,43,,2020,georgia,1
NY Times/Siena*,2020/09/16,2020/09/21,523,LV,41,38,,2020,georgia,1
Univ. of Georgia*,2020/09/11,2020/09/20,1150,LV,47,45,,2020,georgia,1
WXIA-TV/SurveyUSA,2020/08/06,2020/08/08,623,LV,44,41,,2020,georgia,1
CBS News/YouGov,2020/07/28,2020/07/31,1109,LV,45,43,,2020,georgia,1
Monmouth*,2020/07/23,2020/07/27,402,LV,50,43,,2020,georgia,1
OAN/Gravis,2020/07/02,2020/07/02,513,RV,48,43,,2020,georgia,1
FOX News,2020/06/20,2020/06/23,1013,RV,45,42,,2020,georgia,1
Mason-Dixon*,2020/10/12,2020/10/15,625,LV,51,42,,2020,kentucky,
Quinnipiac,2020/09/10,2020/09/14,1164,LV,53,41,,2020,kentucky,
Quinnipiac,2020/07/30,2020/08/03,909,RV,49,44,,2020,kentucky,
CNBC/Change Research (D),2020/10/29,2020/11/01,383,LV,46,51,,2020,michigan,
Emerson,2020/10/29,2020/10/30,700,LV,45,50,,2020,michigan,
Mitchell Research,2020/10/29,2020/10/29,817,LV,45,50,,2020,michigan,
Reuters/Ipsos,2020/10/27,2020/11/01,654,LV,44,51,,2020,michigan,
EPIC-MRA,2020/10/25,2020/10/28,600,LV,42,47,,2020,michigan,
CNN*,2020/10/23,2020/10/30,907,LV,40,52,,2020,michigan,
MIRS/Mitchell Research*,2020/10/25,2020/10/27,759,LV,43,52,,2020,michigan,
NY Times/Siena*,2020/10/23,2020/10/26,856,LV,41,49,,2020,michigan,
Reuters/Ipsos,2020/10/21,2020/10/27,652,LV,44,50,,2020,michigan,
Detroit News/WDIV-TV,2020/10/23,2020/10/25,600,LV,39,48,,2020,michigan,
ABC News/Wash Post,2020/10/20,2020/10/25,789,LV,46,52,,2020,michigan,
MIRS/Mitchell Research,2020/10/18,2020/10/18,900,LV,43,49,,2020,michigan,
FOX News,2020/10/17,2020/10/20,1032,LV,41,49,,2020,michigan,
Reuters/Ipsos,2020/10/14,2020/10/20,686,LV,45,50,,2020,michigan,
CNBC/Change Research (D),2020/10/16,2020/10/19,,LV,45,50,,2020,michigan,
EPIC-MRA,2020/10/15,2020/10/19,600,LV,39,45,,2020,michigan,
The Hill/HarrisX,2020/10/12,2020/10/15,1289,LV,43,50,,2020,michigan,
Trafalgar Group (R),2020/10/11,2020/10/15,1018,LV,48,47,,2020,michigan,
EPIC-MRA,2020/10/08,2020/10/12,600,LV,39,45,,2020,michigan,
Reuters/Ipsos,2020/10/07,2020/10/13,620,LV,44,52,,2020,michigan,
NY Times/Siena*,2020/10/06,2020/10/11,614,LV,42,43,,2020,michigan,
CBS News/YouGov,2020/10/06,2020/10/09,1190,LV,44,47,,2020,michigan,
Emerson,2020/10/06,2020/10/07,716,LV,41,51,,2020,michigan,
CNBC/Change Research (D),2020/10/02,2020/10/04,676,LV,43,51,,2020,michigan,
Reuters/Ipsos,2020/09/29,2020/10/06,709,LV,43,50,,2020,michigan,
Detroit News/WDIV-TV,2020/09/30,2020/10/03,600,LV,40,45,,2020,michigan,
Trafalgar Group (R),2020/09/23,2020/09/25,1047,LV,47,47,,2020,michigan,
NBC News/Marist,2020/09/19,2020/09/22,799,LV,44,49,,2020,michigan,
CNBC/Change Research (D),2020/09/18,2020/09/20,568,LV,44,50,,2020,michigan,
MRG,2020/09/14,2020/09/19,600,LV,40,42,,2020,michigan,
Reuters/Ipsos,2020/09/11,2020/09/16,637,LV,43,49,,2020,michigan,
EPIC-MRA,2020/09/10,2020/09/15,600,LV,41,45,,2020,michigan,
CNBC/Change Research (D),2020/09/04,2020/09/06,876,LV,46,50,,2020,michigan,
Rasmussen Reports,2020/09/02,2020/09/03,1000,LV,40,48,,2020,michigan,
Detroit News/WDIV-TV,2020/09/01,2020/09/03,600,LV,41,44,,2020,michigan,
Trafalgar Group (R),2020/08/14,2020/08/23,1048,LV,48,47,,2020,michigan,
CNBC/Change Research (D),2020/08/21,2020/08/23,809,LV,45,50,,2020,michigan,
CNBC/Change Research (D),2020/08/07,2020/08/09,413,LV,45,48,,2020,michigan,
EPIC-MRA,2020/07/25,2020/07/30,600,LV,40,50,,2020,michigan,
CNBC/Change Research (D),2020/07/24,2020/07/26,413,LV,44,48,,2020,michigan,
Gravis,2020/07/22,2020/07/22,754,RV,39,49,,2020,michigan,
CNN,2020/07/18,2020/07/24,927,RV,38,54,,2020,michigan,
MRG,2020/07/19,2020/07/21,600,LV,34,41,,2020,michigan,
FOX News,2020/07/18,2019/07/20,756,RV,38,48,,2020,michigan,
CNBC/Change Research (D),2020/07/10,2020/07/12,824,LV,43,50,,2020,michigan,
CNBC/Change Research (D),2020/06/26,2020/06/28,699,LV,42,49,,2020,michigan,
MRG,2020/06/12,2020/06/15,600,LV,30,36,,2020,michigan,
NY Times/Siena,2020/06/08,2020/06/17,610,RV,31,41,,2020,michigan,
TIPP,2020/06/09,2020/06/12,859,LV,35,47,,2020,michigan,
EPIC-MRA,2020/05/30,2020/06/03,600,LV,36,51,,2020,michigan,
Change Research (D),2020/05/11,2020/05/17,3070,LV,43,48,,2020,michigan,
FOX News,2020/04/18,2020/04/21,801,RV,36,46,,2020,michigan,
MRG,2020/03/16,2020/03/20,600,LV,35,42,,2020,michigan,
Quinnipiac,2020/02/12,2020/02/18,845,RV,39,45,,2020,michigan,
Detroit News/WDIV-TV,2020/01/03,2020/01/07,600,LV,40,44,,2020,michigan,
Emerson,2019/10/31,2019/11/03,1051,RV,40,46,,2020,michigan,
MRG,2019/10/07,2019/10/10,600,LV,40,43,,2020,michigan,
Target-Insyght/MIRS,2019/09/24,2019/09/26,804,RV,37,53,,2020,michigan,
Emerson,2019/03/07,2019/03/10,743,RV,43,44,,2020,michigan,
Emerson,2020/10/29,2020/10/31,763,LV,50,45,,2020,texas,
UMass Lowell,2019/10/20,2020/10/26,873,LV,49,44,,2020,texas,
NY Times/Siena*,2020/10/20,2020/10/25,802,LV,48,38,,2020,texas,
Quinnipiac,2020/10/16,2020/10/19,1145,LV,49,43,,2020,texas,
University of Houston,2020/10/13,2020/10/20,1000,LV,49,42,,2020,texas,
Dallas Morning News*,2020/10/13,2020/10/20,925,LV,42,34,,2020,texas,
Rasmussen Reports,2020/10/05,2020/10/06,1000,LV,48,39,,2020,texas,
UT/Texas Tribune*,2020/09/25,2020/10/04,908,LV,50,42,,2020,texas,
UMass Lowell,2020/09/18,2020/09/25,882,LV,50,40,,2020,texas,
Quinnipiac,2020/09/17,2020/09/21,1078,LV,50,42,,2020,texas,
NY Times/Siena*,2020/09/16,2020/09/21,653,LV,43,37,,2020,texas,
CBS News/YouGov,2020/09/15,2020/09/18,1205,LV,46,41,,2020,texas,
Dallas Morning News*,2020/08/28,2020/09/02,901,LV,39,28,,2020,texas,
Rice Univ./YouGov*,2020/08/04,2020/08/13,846,RV,44,37,,2020,texas,
Quinnipiac,2020/07/16,2020/07/20,880,RV,47,38,,2020,texas,
CBS News/YouGov,2020/07/07,2020/07/10,1212,RV,44,36,,2020,texas,
Dallas Morning News,2020/06/29,2020/07/07,1677,LV,42,29,,2020,texas,
FOX News,2020/06/20,2020/06/23,1001,RV,46,36,,2020,texas,
Dallas Morning News,2020/04/18,2020/04/27,1183,RV,37,24,,2020,texas,
NBC News/Marist,2020/02/23,2020/02/27,2409,RV,49,41,,2020,texas,
Roanoke College,2020/10/23,2020/10/29,802,LV,39,55,,2020,virginia,
VCU,2020/10/13,2020/10/22,709,LV,38,55,,2020,virginia,
Christopher Newport Univ.,2020/10/15,2020/10/27,908,LV,37,57,,2020,virginia,
Washington Post,2020/10/13,2020/10/19,908,LV,39,57,,2020,virginia,
Roanoke College,2020/09/30,2020/10/12,602,LV,38,55,,2020,virginia,
Christopher Newport Univ.,2020/09/09,2020/09/21,796,LV,39,52,,2020,virginia,
VCU,2020/08/28,2020/09/07,693,LV,38,55,,2020,virginia,
Roanoke College,2020/08/09,2020/08/22,566,LV,34,55,,2020,virginia,
NY Times/Siena*,2020/10/18,2020/10/20,755,LV,46,42,,2020,kansas,
SurveyUSA,2020/08/05,2020/08/09,1202,LV,46,44,,2020,kansas,
Mason-Dixon,2020/02/26,2020/02/28,625,RV,53,43,,2020,mississippi,
CNBC/Change Research (D),2020/10/29,2020/11/01,473,LV,46,50,,2020,north-carolina,
Emerson,2020/10/29,2020/10/31,749,LV,43,46,,2020,north-carolina,
Reuters/Ipsos,2020/10/27,2020/11/01,707,LV,46,48,,2020,north-carolina,
Rasmussen Reports,2020/10/28,2020/10/29,800,LV,44,47,,2020,north-carolina,
East Carolina U.,2020/10/27,2020/10/28,1103,LV,46,47,,2020,north-carolina,
CNN*,2020/10/23,2020/10/30,901,LV,44,47,,2020,north-carolina,
NBC News/Marist,2020/10/25,2020/10/28,800,LV,43,53,,2020,north-carolina,
NY Times/Siena*,2020/10/23,2020/10/27,1034,LV,43,46,,2020,north-carolina,
WRAL-TV/SurveyUSA,2020/10/23,2020/10/26,627,LV,45,48,,2020,north-carolina,
Reuters/Ipsos,2020/10/21,2020/10/27,647,LV,47,48,,2020,north-carolina,
Civitas/Harper (R)*,2020/10/22,2020/10/25,504,LV,43,46,,2020,north-carolina,
UMass Lowell,2019/10/20,2020/10/26,911,LV,45,49,,2020,north-carolina,
Trafalgar Group (R)*,2020/10/20,2020/10/22,1098,LV,49,47,,2020,north-carolina,
CBS News/YouGov,2020/10/20,2020/10/23,1022,LV,43,49,,2020,north-carolina,
Rasmussen Reports,2020/10/20,2020/10/21,800,LV,45,45,,2020,north-carolina,
Reuters/Ipsos,2020/10/14,2020/10/20,660,LV,47,47,,2020,north-carolina,
CNBC/Change Research (D),2020/10/16,2020/10/19,,LV,45,51,,2020,north-carolina,
East Carolina U.,2020/10/15,2020/10/18,1155,LV,47,48,,2020,north-carolina,
Emerson,2020/10/13,2020/10/14,721,LV,44,45,,2020,north-carolina,
ABC News/Wash Post,2020/10/12,2020/10/17,646,LV,47,49,,2020,north-carolina,
NY Times/Siena*,2020/10/09,2020/10/13,627,LV,37,41,,2020,north-carolina,
Reuters/Ipsos,2020/10/07,2020/10/13,660,LV,42,46,,2020,north-carolina,
Monmouth*,2020/10/08,2020/10/11,500,LV,44,49,,2020,north-carolina,
WRAL-TV/SurveyUSA,2020/10/08,2020/10/11,699,LV,39,49,,2020,north-carolina,
Susquehanna,2020/10/07,2020/10/11,500,LV,44,46,,2020,north-carolina,
PPP (D),2020/10/04,2020/10/05,911,LV,42,48,,2020,north-carolina,
East Carolina U.,2020/10/02,2020/10/04,1232,LV,46,45,,2020,north-carolina,
CNBC/Change Research (D),2020/10/02,2020/10/04,396,LV,46,50,,2020,north-carolina,
Reuters/Ipsos,2020/09/29,2020/10/06,693,LV,42,47,,2020,north-carolina,
CBS News/YouGov,2020/09/22,2020/09/25,1194,LV,38,48,,2020,north-carolina,
UMass Lowell,2020/09/18,2020/09/25,921,LV,43,49,,2020,north-carolina,
CNBC/Change Research (D),2020/09/18,2020/09/20,579,LV,43,48,,2020,north-carolina,
Civitas/Harper (R)*,2020/09/17,2020/09/20,612,LV,38,44,,2020,north-carolina,
Emerson,2020/09/16,2020/09/18,717,LV,43,49,,2020,north-carolina,
Reuters/Ipsos,2020/09/11,2020/09/16,586,LV,44,48,,2020,north-carolina,
NY Times/Siena*,2020/09/11,2020/09/16,653,LV,37,42,,2020,north-carolina,
USA Today/Suffolk*,2020/09/11,2020/09/14,500,LV,38,42,,2020,north-carolina,
WRAL-TV/SurveyUSA,2020/09/10,2020/09/13,596,LV,40,47,,2020,north-carolina,
CNN*,2020/09/09,2020/09/13,787,LV,46,47,,2020,north-carolina,
Trafalgar Group (R)*,2020/09/09,2020/09/11,1046,LV,45,46,,2020,north-carolina,
Rasmussen Reports,2020/09/07,2020/09/08,1000,LV,44,47,,2020,north-carolina,
CNBC/Change Research (D),2020/09/04,2020/09/06,442,LV,44,51,,2020,north-carolina,
Monmouth*,2020/08/29,2020/09/01,401,RV,45,47,,2020,north-carolina,
FOX News*,2020/08/29,2020/09/01,722,LV,42,48,,2020,north-carolina,
East Carolina U.,2020/08/29,2020/08/30,1101,LV,44,44,,2020,north-carolina,
CNBC/Change Research (D),2020/08/21,2020/08/23,560,LV,42,52,,2020,north-carolina,
East Carolina U.,2020/08/12,2020/08/13,1255,RV,40,44,,2020,north-carolina,
Emerson,2020/08/08,2020/08/10,673,LV,42,44,,2020,north-carolina,
CNBC/Change Research (D),2020/08/07,2020/08/09,491,LV,43,48,,2020,north-carolina,
Civitas/Harper (R)*,2020/08/06,2020/08/10,600,LV,38,41,,2020,north-carolina,
CBS News/YouGov,2020/07/28,2020/07/31,1129,LV,39,48,,2020,north-carolina,
CNBC/Change Research (D),2020/07/24,2020/07/26,284,LV,40,52,,2020,north-carolina,
NBC News/Marist,2020/07/14,2020/07/22,882,RV,41,50,,2020,north-carolina,
CNBC/Change Research (D),2020/07/10,2020/07/12,655,LV,42,49,,2020,north-carolina,
PPP (D),2020/07/07,2020/07/08,881,RV,39,47,,2020,north-carolina,
CNBC/Change Research (D),2020/06/26,2020/06/28,597,LV,41,51,,2020,north-carolina,
East Carolina U.,2020/06/22,2020/06/25,1149,RV,41,41,,2020,north-carolina,
PPP (D),2020/06/22,2020/06/23,1230,RV,40,44,,2020,north-carolina,
FOX News*,2020/06/20,2020/06/23,1012,RV,37,39,,2020,north-carolina,
Gravis,2020/06/17,2020/06/17,631,RV,46,45,,2020,north-carolina,
NY Times/Siena,2020/06/08,2020/06/18,653,RV,39,42,,2020,north-carolina,
PPP (D),2020/06/02,2020/06/03,949,RV,41,43,,2020,north-carolina,
Civitas/Harper (R)*,2020/05/26,2020/05/28,500,LV,38,36,,2020,north-carolina,
East Carolina U.,2020/05/07,2020/05/09,1111,RV,41,40,,2020,north-carolina,
WRAL-TV/SurveyUSA,2020/04/23,2020/04/26,580,LV,39,41,,2020,north-carolina,
PPP (D),2020/04/14,2020/04/15,1318,RV,40,47,,2020,north-carolina,
Civitas/Harper (R)*,2020/04/05,2020/04/07,500,LV,38,34,,2020,north-carolina,
East Carolina U.,2020/02/27,2020/02/28,1288,RV,44,42,,2020,north-carolina,
NBC News/Marist,2020/02/23,2020/02/27,2120,RV,43,48,,2020,north-carolina,
Emerson,2019/05/31,2019/06/03,932,RV,39,46,,2020,north-carolina,
Rutgers-Eagleton,2019/10/18,2020/10/24,872,LV,31,61,,2020,new-jersey,
Emerson,2020/09/04,2020/09/07,500,LV,28,52,,2020,new-jersey,
Monmouth,2020/04/16,2020/04/19,635,RV,32,55,,2020,new-jersey,
St. Anselm*,2020/10/23,2020/10/26,1018,LV,39,54,,2020,new-hampshire,
UNH*,2020/10/20,2020/10/24,864,LV,43,54,,2020,new-hampshire,
UMass Lowell,2020/10/16,2020/10/26,757,LV,38,57,,2020,new-hampshire,
UNH*,2020/10/09,2020/10/12,899,LV,40,55,,2020,new-hampshire,
Boston Globe/Suffolk*,2020/10/08,2020/10/12,500,LV,36,51,,2020,new-hampshire,
St. Anselm*,2020/10/01,2020/10/04,1147,LV,39,53,,2020,new-hampshire,
Emerson,2020/09/30,2020/10/01,700,LV,40,55,,2020,new-hampshire,
UNH*,2020/09/24,2020/09/28,972,LV,41,54,,2020,new-hampshire,
UMass Lowell,2020/09/17,2020/09/25,657,LV,37,56,,2020,new-hampshire,
UNH*,2020/08/28,2020/09/01,1889,LV,36,54,,2020,new-hampshire,
UNH,2020/07/16,2020/07/28,1893,LV,35,54,,2020,new-hampshire,
UNH,2020/06/18,2020/06/22,932,LV,37,50,,2020,new-hampshire,
UNH,2020/05/14,2020/05/18,788,LV,34,50,,2020,new-hampshire,
UNH,2020/02/19,2020/02/25,576,RV,28,52,,2020,new-hampshire,
East Carolina U.,2020/10/24,2020/10/25,763,LV,49,46,,2020,south-carolina,
NY Times/Siena*,2020/10/09,2020/10/15,605,LV,46,40,,2020,south-carolina,
Quinnipiac,2020/09/23,2020/09/27,1123,LV,48,48,,2020,south-carolina,
CBS News/YouGov,2020/09/22,2020/09/25,1065,LV,45,44,,2020,south-carolina,
Quinnipiac,2020/09/10,2020/09/14,969,LV,48,48,,2020,south-carolina,
Quinnipiac,2020/07/30,2020/08/03,914,RV,44,44,,2020,south-carolina,
Gravis,2020/07/17,2020/07/17,604,LV,48,41,,2020,south-carolina,
NBC News/Marist,2020/02/18,2020/02/21,2382,RV,54,37,,2020,south-carolina,
