pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state,overlapping_special_election
Rasmussen Reports,2010/07/26,2010/07/26,500,LV,48,42,,2010,colorado,
Rasmussen Reports,2010/07/08,2010/07/08,500,LV,48,39,,2010,colorado,
Denver Post/SurveyUSA,2010/06/15,2010/06/17,1565,RV,46,43,,2010,colorado,
Rasmussen Reports,2010/06/07,2010/06/07,500,LV,46,41,,2010,colorado,
PPP (D),2010/05/14,2010/05/16,1060,LV,39,45,,2010,colorado,
Rasmussen Reports,2010/05/03,2010/05/03,500,LV,48,41,,2010,colorado,
Rasmussen Reports,2010/04/05,2010/04/05,500,LV,44,40,,2010,colorado,
PPP (D),2010/03/05,2010/03/08,580,LV,40,46,,2010,colorado,
Rasmussen Reports,2010/03/02,2010/03/02,500,LV,44,38,,2010,colorado,
Rasmussen Reports,2010/02/02,2010/02/02,500,LV,45,41,,2010,colorado,
Rasmussen Reports,2010/01/13,2010/01/13,500,LV,43,38,,2010,colorado,
R2000/Daily Kos (D)**,2010/01/11,2010/01/13,600,LV,38,41,,2010,colorado,
Rasmussen Reports,2009/12/08,2009/12/08,500,LV,42,38,,2010,colorado,
Rasmussen Reports,2009/09/09,2009/09/09,500,LV,37,43,,2010,colorado,
PPP (D),2009/08/14,2009/08/16,969,LV,35,39,,2010,colorado,
PPP (D),2009/04/17,2009/04/19,1050,LV,34,40,,2010,colorado,
Downs Center/SUSA,2010/10/21,2010/10/25,1600,LV,54,32,,2010,indiana,
Rasmussen Reports,2010/10/20,2010/10/21,500,LV,52,34,,2010,indiana,
WISH-TV/EPIC-MRA,2010/10/19,2010/10/21,500,LV,53,35,,2010,indiana,
WISH-TV/EPIC-MRA,2010/09/29,2010/10/01,500,LV,51,33,,2010,indiana,
Rasmussen Reports,2010/09/14,2010/09/15,500,LV,50,34,,2010,indiana,
Rasmussen Reports,2010/08/04,2010/08/07,500,LV,50,29,,2010,indiana,
Rasmussen Reports,2010/07/07,2010/07/08,500,LV,51,30,,2010,indiana,
Rasmussen Reports,2010/06/02,2010/06/03,500,LV,47,33,,2010,indiana,
Rasmussen Reports,2010/05/05,2010/05/06,500,LV,51,36,,2010,indiana,
Downs Center/SUSA,2010/04/22,2010/04/26,1250,LV,47,31,,2010,indiana,
Rasmussen Reports,2010/04/13,2010/04/14,500,LV,54,33,,2010,indiana,
Rasmussen Reports,2010/03/17,2010/03/18,500,LV,49,34,,2010,indiana,
R2000/Daily Kos (D)**,2010/02/22,2010/02/24,600,LV,37,36,,2010,indiana,
Rasmussen Reports,2010/02/16,2010/02/17,500,LV,46,32,,2010,indiana,
Rasmussen Reports,2010/10/13,2010/10/13,500,LV,40,53,,2010,hawaii,
Daily Kos/PPP (D),2010/10/02,2010/10/03,1326,LV,29,65,,2010,hawaii,
KSN3/Missouri State Univ.,2010/10/20,2010/10/27,672,LV,54,41,,2010,missouri,
Post-Dispatch/Mason-Dixon,2010/10/18,2010/10/20,625,LV,49,40,,2010,missouri,
Rasmussen Reports,2010/10/19,2010/10/19,750,LV,52,43,,2010,missouri,
FOX News/POR-Rasmussen,2010/10/16,2010/10/16,1000,LV,49,43,,2010,missouri,
Rasmussen Reports,2010/10/05,2010/10/05,750,LV,51,43,,2010,missouri,
CNN/Time,2010/10/01,2010/10/05,832,LV,53,40,,2010,missouri,
FOX News/POR-Rasmussen,2010/10/02,2010/10/02,1000,LV,50,42,,2010,missouri,
Rasmussen Reports,2010/09/21,2010/09/21,750,LV,52,44,,2010,missouri,
Rasmussen Reports,2010/09/07,2010/09/07,750,LV,53,43,,2010,missouri,
Rasmussen Reports,2010/08/23,2010/08/23,750,LV,54,41,,2010,missouri,
Daily Kos/PPP (D),2010/08/14,2010/08/15,690,LV,45,38,,2010,missouri,
KY3/Missouri State Univ.,2010/08/06,2010/08/22,785,RV,49,48,,2010,missouri,
Rasmussen Reports,2010/08/10,2010/08/10,750,LV,50,43,,2010,missouri,
Rasmussen Reports,2010/07/27,2010/07/27,750,LV,49,43,,2010,missouri,
Post-Dispatch/Mason-Dixon,2010/07/19,2010/07/21,625,LV,48,42,,2010,missouri,
Rasmussen Reports,2010/07/13,2010/07/13,500,LV,47,45,,2010,missouri,
Rasmussen Reports,2010/06/28,2010/06/28,500,LV,48,43,,2010,missouri,
Rasmussen Reports,2010/06/02,2010/06/02,500,LV,45,44,,2010,missouri,
Rasmussen Reports,2010/05/03,2010/05/03,500,LV,50,42,,2010,missouri,
Rasmussen Reports,2010/04/06,2010/04/06,500,LV,48,42,,2010,missouri,
PPP (D),2010/03/27,2010/03/28,495,LV,45,41,,2010,missouri,
Rasmussen Reports,2010/03/09,2010/03/09,500,LV,47,41,,2010,missouri,
Rasmussen Reports,2010/02/10,2010/02/10,500,LV,49,42,,2010,missouri,
Rasmussen Reports,2010/01/19,2010/01/19,500,LV,49,43,,2010,missouri,
Rasmussen Reports,2009/12/15,2009/12/15,500,LV,44,46,,2010,missouri,
PPP (D),2009/11/13,2009/11/15,763,LV,42,43,,2010,missouri,
Momentum Analysis (D),2009/09/15,2009/09/19,802,LV,45,48,,2010,missouri,
Rasmussen Reports,2009/09/21,2009/09/21,500,LV,46,46,,2010,missouri,
Democracy Corps (D),2009/04/28,2009/04/30,800,LV,44,53,,2010,missouri,
Wilson Research (R),2009/03/07,2009/03/09,600,LV,44,47,,2010,missouri,
PPP (D),2009/01/10,2009/01/11,867,LV,44,45,,2010,missouri,
Rasmussen Reports,2010/10/28,2010/10/28,500,LV,52,32,,2010,arizona,
Daily Kos/PPP (D),2010/10/23,2010/10/24,664,LV,56,38,,2010,arizona,
Behavior Research Center,2010/10/01,2010/10/10,450,LV,56,22,,2010,arizona,
Rasmussen Reports,2010/10/03,2010/10/03,500,LV,54,33,,2010,arizona,
Rasmussen Reports,2010/09/07,2010/09/07,500,LV,51,37,,2010,arizona,
Rasmussen Reports,2010/08/25,2010/08/25,500,LV,53,31,,2010,arizona,
Rasmussen Reports,2010/07/29,2010/07/29,500,LV,53,34,,2010,arizona,
Rasmussen Reports,2010/05/17,2010/05/17,1000,LV,57,28,,2010,arizona,
R2000/Daily Kos (D)**,2010/05/03,2010/05/05,600,LV,48,35,,2010,arizona,
PPP (D),2010/04/23,2010/04/25,813,LV,49,33,,2010,arizona,
Behavior Research Center,2010/04/12,2010/04/25,666,RV,46,24,,2010,arizona,
R2000/Daily Kos (D)**,2010/03/29,2010/03/31,600,LV,52,33,,2010,arizona,
PPP (D),2010/10/30,2010/10/31,682,LV,47,46,,2010,nevada,
FOX News/POR-Rasmussen,2010/10/30,2010/10/30,1000,LV,48,45,,2010,nevada,
LVRJ/Mason-Dixon,2010/10/25,2010/10/27,625,LV,49,45,,2010,nevada,
Rasmussen Reports,2010/10/25,2010/10/25,750,LV,49,45,,2010,nevada,
CNN/Time,2010/10/20,2010/10/26,773,LV,49,45,,2010,nevada,
Rasmussen Reports,2010/10/17,2010/10/17,750,LV,50,47,,2010,nevada,
LVRJ/Mason-Dixon,2010/10/11,2010/10/12,625,LV,48,46,,2010,nevada,
Rasmussen Reports,2010/10/11,2010/10/11,750,LV,49,48,,2010,nevada,
Suffolk University,2010/10/08,2010/10/11,500,LV,43,46,,2010,nevada,
FOX News/POR-Rasmussen,2010/10/09,2010/10/09,1000,LV,49,47,,2010,nevada,
PPP (D),2010/10/07,2010/10/09,504,LV,45,47,,2010,nevada,
Rasmussen Reports,2010/10/05,2010/10/05,750,LV,50,46,,2010,nevada,
CNN/Time,2010/10/01,2010/10/05,789,LV,42,40,,2010,nevada,
FOX News/POR-Rasmussen,2010/10/02,2010/10/02,1000,LV,49,46,,2010,nevada,
Rasmussen Reports,2010/09/28,2010/09/28,750,LV,47,48,,2010,nevada,
Retail Assoc. of Nevada/POS (R),2010/09/21,2010/09/23,500,LV,40,45,,2010,nevada,
LVRJ/Mason-Dixon,2010/09/20,2010/09/22,625,LV,43,43,,2010,nevada,
FOX News/POR-Rasmussen,2010/09/18,2010/09/18,1000,LV,46,45,,2010,nevada,
CNN/Time,2010/09/10,2010/09/14,789,LV,42,41,,2010,nevada,
Rasmussen Reports,2010/09/13,2010/09/13,750,LV,48,48,,2010,nevada,
Reuters/Ipsos,2010/09/10,2010/09/12,463,LV,44,46,,2010,nevada,
FOX News/POR-Rasmussen,2010/09/11,2010/09/11,1000,LV,45,44,,2010,nevada,
LVRJ/Mason-Dixon,2010/09/07,2010/09/09,625,LV,44,46,,2010,nevada,
Rasmussen Reports,2010/09/01,2010/09/01,750,LV,47,50,,2010,nevada,
LVRJ/Mason-Dixon,2010/08/23,2010/08/25,625,LV,44,45,,2010,nevada,
Rasmussen Reports,2010/08/16,2010/08/16,750,LV,50,48,,2010,nevada,
LVRJ/Mason-Dixon,2010/08/09,2010/08/11,625,LV,44,46,,2010,nevada,
Reuters/Ipsos,2010/07/30,2010/08/01,462,LV,44,48,,2010,nevada,
LVRJ/Mason-Dixon,2010/07/26,2010/07/28,625,RV,42,43,,2010,nevada,
Rasmussen Reports,2010/07/27,2010/07/27,750,LV,43,45,,2010,nevada,
PPP (D),2010/07/16,2010/07/18,630,RV,46,48,,2010,nevada,
LVRJ/Mason-Dixon,2010/07/12,2010/07/14,625,LV,37,44,,2010,nevada,
Rasmussen Reports,2010/07/12,2010/07/12,750,LV,46,43,,2010,nevada,
Rasmussen Reports,2010/06/22,2010/06/22,500,LV,48,41,,2010,nevada,
Rasmussen Reports,2010/06/09,2010/06/09,500,LV,50,39,,2010,nevada,
LVRJ/Mason-Dixon,2010/06/01,2010/06/03,625,LV,44,41,,2010,nevada,
R2000/Daily Kos (D)**,2010/05/31,2010/06/02,600,LV,37,43,,2010,nevada,
Mason-Dixon,2010/05/24,2010/05/26,625,LV,39,42,,2010,nevada,
Rasmussen Reports,2010/04/27,2010/04/27,500,LV,48,40,,2010,nevada,
Rasmussen Reports,2010/03/31,2010/03/31,500,LV,51,40,,2010,nevada,
Rasmussen Reports,2010/03/03,2010/03/03,500,LV,46,38,,2010,nevada,
LVRJ/Mason-Dixon,2010/02/22,2010/02/24,625,LV,44,42,,2010,nevada,
Rasmussen Reports,2010/02/03,2010/02/03,500,LV,44,40,,2010,nevada,
Rasmussen Reports,2010/01/11,2010/01/11,500,LV,44,40,,2010,nevada,
Mason-Dixon,2010/01/05,2010/01/07,625,RV,45,40,,2010,nevada,
Rasmussen Reports,2009/12/09,2009/12/09,500,LV,47,43,,2010,nevada,
PPP (D),2010/10/30,2010/10/31,814,LV,46,42,,2010,illinois,
FOX News/POR-Rasmussen,2010/10/30,2010/10/30,1000,LV,46,42,,2010,illinois,
Chicago Tribune,2010/10/18,2010/10/22,700,LV,44,41,,2010,illinois,
Post-Dispatch/Mason-Dixon,2010/10/18,2010/10/20,625,LV,43,41,,2010,illinois,
Rasmussen Reports,2010/10/26,2010/10/26,750,LV,46,42,,2010,illinois,
FOX News/POR-Rasmussen,2010/10/23,2010/10/23,1000,LV,43,41,,2010,illinois,
Rasmussen Reports,2010/10/18,2010/10/18,750,LV,44,40,,2010,illinois,
PPP (D),2010/10/14,2010/10/16,557,LV,42,40,,2010,illinois,
Rasmussen Reports,2010/10/11,2010/10/11,750,LV,43,44,,2010,illinois,
The Simon Poll/SIU,2010/09/30,2010/10/10,758,LV,37,37,,2010,illinois,
Rasmussen Reports,2010/10/04,2010/10/04,750,LV,45,41,,2010,illinois,
Suffolk University,2010/09/30,2010/10/03,500,LV,42,41,,2010,illinois,
Chicago Tribune,2010/09/24,2010/09/28,600,LV,36,38,,2010,illinois,
CNN/Time,2010/09/24,2010/09/28,828,LV,42,43,,2010,illinois,
FOX News/POR-Rasmussen,2010/09/25,2010/09/25,1000,LV,42,40,,2010,illinois,
PPP (D),2010/09/23,2010/09/26,470,LV,40,36,,2010,illinois,
Rasmussen Reports,2010/09/21,2010/09/21,750,LV,44,41,,2010,illinois,
WeAskAmerica,2010/09/13,2010/09/13,1379,LV,39,36,,2010,illinois,
Rasmussen Reports,2010/09/07,2010/09/07,750,LV,41,37,,2010,illinois,
Chicago Tribune,2010/08/28,2010/09/01,600,LV,34,34,,2010,illinois,
Rasmussen Reports,2010/08/23,2010/08/23,750,LV,45,45,,2010,illinois,
PPP (D),2010/08/14,2010/08/15,576,LV,35,37,,2010,illinois,
Rasmussen Reports,2010/08/09,2010/08/09,750,LV,40,40,,2010,illinois,
WeAskAmerica,2010/08/04,2010/08/04,998,RV,39,33,,2010,illinois,
PPP (D),2010/06/12,2010/06/13,591,RV,30,31,,2010,illinois,
Rasmussen Reports,2010/07/26,2010/07/26,750,LV,41,43,,2010,illinois,
Rasmussen Reports,2010/07/07,2010/07/07,500,LV,39,40,,2010,illinois,
Rasmussen Reports,2010/06/07,2010/06/07,500,LV,42,39,,2010,illinois,
R2000/Daily Kos (D)**,2010/05/03,2010/05/05,600,LV,41,38,,2010,illinois,
Rasmussen Reports,2010/04/28,2010/04/28,500,LV,46,38,,2010,illinois,
Rasmussen Reports,2010/04/05,2010/04/05,500,LV,41,37,,2010,illinois,
PPP (D),2010/04/01,2010/04/05,591,LV,37,33,,2010,illinois,
Rasmussen Reports,2010/03/08,2010/03/08,500,LV,41,44,,2010,illinois,
R2000/Daily Kos (D)**,2010/02/22,2010/02/24,600,LV,36,43,,2010,illinois,
Rasmussen Reports,2010/02/03,2010/02/03,500,LV,46,40,,2010,illinois,
PPP (D),2010/01/22,2010/01/25,1062,LV,34,42,,2010,illinois,
Rasmussen Reports,2009/12/09,2009/12/09,500,LV,39,42,,2010,illinois,
Rasmussen Reports,2009/10/14,2009/10/14,500,LV,41,41,,2010,illinois,
Rasmussen Reports,2009/08/12,2009/08/12,500,LV,41,38,,2010,illinois,
PPP (D),2009/04/24,2009/04/26,991,RV,35,35,,2010,illinois,
R2000/Daily Kos (D)**,2009/01/26,2009/01/28,600,LV,30,38,,2010,illinois,
Rasmussen Reports,2010/09/21,2010/09/21,500,LV,58,30,,2010,alabama,
Rasmussen Reports,2010/08/19,2010/08/19,500,LV,60,28,,2010,alabama,
Rasmussen Reports,2010/07/22,2010/07/22,500,LV,59,29,,2010,alabama,
Rasmussen Reports,2010/06/03,2010/06/03,500,LV,58,31,,2010,alabama,
Rasmussen Reports,2010/05/25,2010/05/25,500,LV,58,31,,2010,alabama,
R2000/Daily Kos (D)**,2010/05/17,2010/05/19,600,LV,57,33,,2010,alabama,
Rasmussen Reports,2010/03/29,2010/03/29,500,LV,59,32,,2010,alabama,
Monmouth,2010/10/25,2010/10/27,1171,LV,41,51,,2010,delaware,
Fairleigh Dickinson,2010/10/20,2010/10/26,797,LV,36,57,,2010,delaware,
Rasmussen Reports,2010/10/14,2010/10/14,500,LV,40,51,,2010,delaware,
SurveyUSA,2010/10/11,2010/10/12,2355,LV,33,54,,2010,delaware,
CNN/Time,2010/10/08,2010/10/12,834,LV,38,57,,2010,delaware,
Magellan Strategies (R),2010/10/10,2010/10/10,928,LV,36,54,,2010,delaware,
Monmouth,2010/10/08,2010/10/11,790,LV,38,57,,2010,delaware,
FOX News/POR-Rasmussen,2010/10/09,2010/10/09,1000,LV,38,54,,2010,delaware,
Fairleigh Dickinson,2010/09/27,2010/10/03,801,LV,36,53,,2010,delaware,
CNN/Time,2010/09/17,2010/09/21,703,LV,39,55,,2010,delaware,
FOX News/POR-Rasmussen,2010/09/18,2010/09/18,1000,LV,39,54,,2010,delaware,
