pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
Rasmussen,2006/05/08,2006/05/08,500.0,LV,41.0,44.0,,2006,ohio
Battleground,2006/05/12,2006/05/14,650.0,LV,55.0,40.0,,2006,ohio
University of Cincinnati,2006/05/09,2006/05/21,643.0,RV,52.0,42.0,,2006,ohio
SurveyUSA,2006/06/10,2006/06/12,507.0,LV,39.0,48.0,,2006,ohio
Zogby Interactive*,2006/06/13,2006/06/19,785.0,RV,34.0,46.0,,2006,ohio
Rasmussen,2006/06/20,2006/06/20,500.0,LV,46.0,39.0,,2006,ohio
Zogby Interactive*,2006/07/11,2006/07/19,953.0,LV,37.0,45.0,,2006,ohio
Columbus Dispatch*,2006/07/11,2006/07/20,1654.0,RV,37.0,45.0,,2006,ohio
Rasmussen,2006/07/27,2006/07/27,500.0,LV,42.0,44.0,,2006,ohio
SurveyUSA,2006/08/05,2006/08/07,503.0,LV,41.0,49.0,,2006,ohio
Zogby Interactive*,2006/08/15,2006/08/21,1045.0,LV,39.0,47.0,,2006,ohio
Rasmussen,2006/08/22,2006/08/22,500.0,LV,42.0,45.0,,2006,ohio
USA Today/Gallup,2006/08/23,2006/08/27,584.0,LV,40.0,46.0,,2006,ohio
Zogby Interactive*,2006/08/29,2006/09/05,807.0,LV,41.0,45.0,,2006,ohio
Rasmussen,2006/09/13,2006/09/13,500.0,LV,41.0,47.0,,2006,ohio
University of Cincinnati,2006/09/07,2006/09/17,671.0,LV,47.0,51.0,,2006,ohio
Quinnipiac,2006/09/11,2006/09/17,876.0,LV,44.0,45.0,,2006,ohio
SurveyUSA,2006/09/18,2006/09/20,490.0,LV,42.0,52.0,,2006,ohio
Columbus Dispatch*,2006/09/09,2006/09/22,1791.0,RV,42.0,47.0,,2006,ohio
Zogby Interactive*,2006/09/19,2006/09/25,963.0,LV,41.0,45.0,,2006,ohio
Mason-Dixon,2006/09/25,2006/09/27,625.0,LV,43.0,45.0,,2006,ohio
Univ. of Akron,2006/08/20,2006/09/29,477.0,LV,42.0,42.0,,2006,ohio
Reuters/Zogby,2006/09/25,2006/10/02,601.0,LV,41.0,41.0,,2006,ohio
Rasmussen,2006/10/03,2006/10/03,500.0,LV,43.0,50.0,,2006,ohio
SurveyUSA,2006/10/09,2006/10/11,515.0,LV,40.0,54.0,,2006,ohio
Rasmussen,2006/10/12,2006/10/12,500.0,LV,42.0,48.0,,2006,ohio
Univ. of Cinci,2006/10/09,2006/10/14,526.0,LV,45.0,52.0,,2006,ohio
Quinnipiac,2006/10/10,2006/10/15,901.0,LV,41.0,53.0,,2006,ohio
CBS News/NY Times,2006/10/11,2006/10/15,689.0,LV,35.0,49.0,,2006,ohio
Zogby Interactive*,2006/10/10,2006/10/16,750.0,LV,45.0,49.0,,2006,ohio
Mason-Dixon,2006/10/18,2006/10/20,625.0,LV,40.0,48.0,,2006,ohio
LA Times/Bloomberg,2006/10/20,2006/10/23,507.0,LV,39.0,47.0,,2006,ohio
Rasmussen,2006/10/24,2006/10/24,500.0,LV,43.0,54.0,,2006,ohio
SurveyUSA,2006/10/23,2006/10/25,563.0,LV,37.0,57.0,,2006,ohio
Zogby Interactive*,2006/10/23,2006/10/27,,LV,47.0,49.0,,2006,ohio
CNN,2006/10/26,2006/10/29,542.0,LV,43.0,54.0,,2006,ohio
Opinion Consultants,2006/10/22,2006/10/30,800.0,LV,44.0,51.0,,2006,ohio
Reuters/Zogby,2006/10/24,2006/10/31,600.0,LV,42.0,49.0,,2006,ohio
Columbus Dispatch*,2006/10/24,2006/11/03,1541.0,RV,38.0,62.0,,2006,ohio
USA Today/Gallup,2006/11/01,2006/11/04,874.0,LV,41.0,50.0,,2006,montana
Reuters/Zogby,2006/10/24,2006/10/31,600.0,LV,46.0,47.0,,2006,montana
Mason-Dixon,2006/10/31,2006/11/02,625.0,LV,47.0,47.0,,2006,montana
Rasmussen,2006/11/04,2006/11/04,500.0,LV,48.0,50.0,,2006,montana
Mason-Dixon,2005/12/13,2005/12/15,625.0,RV,49.0,36.0,,2006,montana
Mason-Dixon,2005/05/23,2005/05/25,625.0,LV,50.0,26.0,,2006,montana
Rasmussen,2006/01/09,2006/01/09,500.0,LV,45.0,45.0,,2006,montana
Rasmussen,2005/09/08,2005/09/08,500.0,LV,51.0,38.0,,2006,montana
Rasmussen,2006/05/11,2006/05/11,500.0,LV,44.0,48.0,,2006,montana
Rasmussen,2006/02/07,2006/02/07,500.0,LV,46.0,46.0,,2006,montana
Rasmussen,2006/03/14,2006/03/14,500.0,LV,43.0,46.0,,2006,montana
Rasmussen,2006/04/11,2006/04/11,500.0,LV,47.0,44.0,,2006,montana
Rasmussen,2006/08/08,2006/08/08,500.0,LV,47.0,47.0,,2006,montana
Ayres McHenry (R),2006/04/25,2006/04/27,600.0,,42.0,48.0,,2006,montana
Rasmussen,2006/09/20,2006/09/20,500.0,LV,43.0,50.0,,2006,montana
Mason-Dixon,2006/05/22,2006/05/24,625.0,LV,42.0,45.0,,2006,montana
Rasmussen,2006/09/12,2006/09/12,500.0,LV,43.0,52.0,,2006,montana
Lake Research (D),2006/08/08,2006/08/10,600.0,LV,37.0,44.0,,2006,montana
Reuters/Zogby,2006/09/25,2006/10/02,607.0,LV,42.0,46.0,,2006,montana
Rasmussen,2006/10/18,2006/10/18,500.0,LV,46.0,49.0,,2006,montana
USA Today/Gallup,2006/08/23,2006/08/27,641.0,LV,45.0,48.0,,2006,montana
Mason-Dixon,2006/09/26,2006/09/28,625.0,LV,40.0,47.0,,2006,montana
Rasmussen,2006/10/11,2006/10/11,500.0,LV,44.0,50.0,,2006,montana
Mason-Dixon,2006/10/17,2006/10/19,625.0,LV,43.0,46.0,,2006,montana
Rasmussen,2006/10/26,2006/10/26,500.0,LV,48.0,51.0,,2006,montana
Harstad Strategic Res. (D),2006/10/24,2006/10/25,662.0,LV,42.0,48.0,,2006,montana
Rasmussen,2006/11/01,2006/11/01,500.0,LV,46.0,50.0,,2006,montana
Rasmussen,2006/09/06,2006/09/06,500.0,LV,50.0,41.0,,2006,nevada
Research 2000,2006/09/05,2006/09/07,600.0,LV,56.0,35.0,,2006,nevada
Zogby Interactive*,2006/10/10,2006/10/16,547.0,LV,52.0,43.0,,2006,nevada
Mason-Dixon,2006/09/19,2006/09/21,625.0,LV,58.0,35.0,,2006,nevada
Zogby Interactive*,2006/09/19,2006/09/25,,,49.0,42.0,,2006,nevada
Research 2000,2006/10/23,2006/10/25,600.0,LV,55.0,41.0,,2006,nevada
Rasmussen,2006/10/17,2006/10/17,500.0,LV,52.0,43.0,,2006,nevada
Zogby Interactive*,2006/10/23,2006/10/27,,LV,58.0,37.0,,2006,nevada
Rasmussen,2006/11/02,2006/11/02,500.0,LV,49.0,49.0,,2006,virginia
USA Today/Gallup,2006/11/01,2006/11/03,916.0,LV,49.0,46.0,,2006,virginia
Mason-Dixon,2006/11/01,2006/11/03,625.0,LV,45.0,46.0,,2006,virginia
SurveyUSA,2006/11/03,2006/11/05,741.0,LV,44.0,52.0,,2006,virginia
Rasmussen,2005/12/07,2005/12/07,500.0,LV,57.0,26.0,,2006,virginia
Rasmussen,2006/02/08,2006/02/08,500.0,LV,49.0,37.0,,2006,virginia
Rasmussen,2006/04/11,2006/04/11,500.0,LV,50.0,30.0,,2006,virginia
Rasmussen,2006/06/14,2006/06/14,500.0,LV,51.0,41.0,,2006,virginia
Benenson Strategy (D),2006/06/22,2006/06/27,601.0,LV,46.0,39.0,,2006,virginia
SurveyUSA,2006/06/25,2006/06/27,533.0,LV,56.0,37.0,,2006,virginia
Zogby,2006/07/12,2006/07/15,501.0,LV,47.0,37.0,,2006,virginia
Rasmussen,2006/07/18,2006/07/18,500.0,LV,50.0,39.0,,2006,virginia
Mason-Dixon,2006/07/25,2006/07/27,625.0,RV,48.0,32.0,,2006,virginia
Rasmussen,2006/08/16,2006/08/16,500.0,LV,47.0,42.0,,2006,virginia
SurveyUSA,2006/08/18,2006/08/20,576.0,LV,48.0,45.0,,2006,virginia
Zogby Interactive*,2006/08/15,2006/08/21,,,47.0,48.0,,2006,virginia
Zogby Interactive*,2006/08/29,2006/09/05,,,43.0,50.0,,2006,virginia
Mason-Dixon,2006/09/05,2006/09/07,625.0,LV,46.0,42.0,,2006,virginia
SurveyUSA,2006/09/10,2006/09/12,467.0,LV,48.0,45.0,,2006,virginia
Zogby Interactive*,2006/09/19,2006/09/25,960.0,LV,49.0,44.0,,2006,virginia
SurveyUSA,2006/09/24,2006/09/26,628.0,LV,49.0,44.0,,2006,virginia
Mason-Dixon,2006/09/23,2006/09/27,625.0,LV,43.0,43.0,,2006,virginia
SurveyUSA,2006/09/26,2006/09/28,612.0,LV,50.0,44.0,,2006,virginia
USA Today/Gallup,2006/09/27,2006/10/01,597.0,LV,48.0,45.0,,2006,virginia
Rasmussen,2006/09/28,2006/10/01,750.0,LV,49.0,43.0,,2006,virginia
Reuters/Zogby,2006/09/25,2006/10/02,601.0,LV,48.0,37.0,,2006,virginia
Washington Post,2006/10/10,2006/10/12,1004.0,LV,49.0,47.0,,2006,virginia
Rasmussen,2006/10/12,2006/10/12,500.0,LV,49.0,46.0,,2006,virginia
Zogby Interactive *,2006/10/10,2006/10/16,1017.0,LV,50.0,47.0,,2006,virginia
LA Times/Bloomberg,2006/10/20,2006/10/23,385.0,LV,44.0,47.0,,2006,virginia
SurveyUSA,2006/10/22,2006/10/24,613.0,LV,49.0,46.0,,2006,virginia
Rasmussen,2006/10/24,2006/10/24,500.0,LV,50.0,48.0,,2006,virginia
Zogby Interactive*,2006/10/23,2006/10/27,,LV,47.0,51.0,,2006,virginia
Roanoke College,2006/10/22,2006/10/29,453.0,LV,45.0,42.0,,2006,virginia
CNN,2006/10/26,2006/10/29,597.0,LV,46.0,50.0,,2006,virginia
Garin Hart Yang (D),2006/10/26,2006/10/29,811.0,LV,43.0,47.0,,2006,virginia
Rasmussen,2006/10/29,2006/10/29,500.0,LV,46.0,51.0,,2006,virginia
Rasmussen,2006/11/01,2006/11/01,500.0,LV,43.0,48.0,,2006,new-jersey
Mason-Dixon,2006/11/01,2006/11/03,625.0,LV,41.0,48.0,,2006,new-jersey
Marist,2006/11/01,2006/11/03,619.0,LV,42.0,50.0,,2006,new-jersey
Monmouth/Gannett,2006/11/01,2006/11/03,1086.0,LV,42.0,45.0,,2006,new-jersey
USA Today/Gallup,2006/11/01,2006/11/04,877.0,LV,40.0,50.0,,2006,new-jersey
Quinnipiac,2006/10/30,2006/11/05,917.0,LV,43.0,48.0,,2006,new-jersey
Quinnipiac,2005/11/16,2005/11/20,1111.0,RV,39.0,41.0,,2006,new-jersey
Rasmussen,2005/12/07,2005/12/07,500.0,LV,34.0,38.0,,2006,new-jersey
Quinnipiac,2005/12/10,2005/12/13,689.0,RV,38.0,44.0,,2006,new-jersey
Fairleigh Dickinson,2006/01/03,2006/01/10,707.0,RV,36.0,25.0,,2006,new-jersey
Rasmussen,2006/01/18,2006/01/18,500.0,LV,42.0,35.0,,2006,new-jersey
Quinnipiac,2006/01/18,2006/01/23,961.0,RV,36.0,38.0,,2006,new-jersey
Strategic Vision (R),2006/02/03,2006/02/05,800.0,LV,33.0,28.0,,2006,new-jersey
Zogby,2006/02/08,2006/02/10,802.0,LV,32.0,37.0,,2006,new-jersey
Rasmussen,2006/02/14,2006/02/14,500.0,LV,36.0,39.0,,2006,new-jersey
Fairleigh Dickinson,2006/02/27,2006/03/06,601.0,RV,37.0,42.0,,2006,new-jersey
Strategic Vision (R),2006/03/06,2006/03/08,800.0,LV,32.0,30.0,,2006,new-jersey
Quinnipiac,2006/03/08,2006/03/14,1147.0,RV,36.0,40.0,,2006,new-jersey
Rasmussen,2006/03/28,2006/03/28,500.0,LV,41.0,39.0,,2006,new-jersey
Rutgers-Eagleton Poll,2006/03/26,2006/03/30,676.0,RV,35.0,40.0,,2006,new-jersey
Fairleigh Dickinson,2006/03/27,2006/04/02,685.0,RV,42.0,38.0,,2006,new-jersey
Strategic Vision (R),2006/04/07,2006/04/09,800.0,LV,34.0,32.0,,2006,new-jersey
Rasmussen,2006/04/11,2006/04/11,500.0,LV,43.0,36.0,,2006,new-jersey
Quinnipiac,2006/04/18,2006/04/24,1414.0,RV,34.0,40.0,,2006,new-jersey
Strategic Vision (R),2006/05/12,2006/05/14,800.0,LV,35.0,35.0,,2006,new-jersey
Rasmussen,2006/05/16,2006/05/16,500.0,LV,40.0,37.0,,2006,new-jersey
Quinnipiac,2006/06/07,2006/06/13,1099.0,RV,36.0,43.0,,2006,new-jersey
Strategic Vision (R),2006/06/16,2006/06/18,800.0,LV,36.0,38.0,,2006,new-jersey
Rutgers-Eagleton Poll,2006/06/14,2006/06/19,699.0,RV,38.0,42.0,,2006,new-jersey
Rasmussen,2006/06/21,2006/06/21,500.0,LV,40.0,46.0,,2006,new-jersey
Strategic Vision (R),2006/07/07,2006/07/09,800.0,LV,37.0,43.0,,2006,new-jersey
Quinnipiac,2006/07/08,2006/07/12,985.0,RV,40.0,38.0,,2006,new-jersey
Monmouth/Gannett,2006/07/11,2006/07/13,802.0,A,37.0,38.0,,2006,new-jersey
Fairleigh Dickinson,2006/07/10,2006/07/16,675.0,RV,40.0,43.0,,2006,new-jersey
Rasmussen,2006/07/25,2006/07/25,500.0,LV,38.0,44.0,,2006,new-jersey
POS (R),2006/07/31,2006/08/02,500.0,LV,39.0,38.0,,2006,new-jersey
Strategic Vision (R),2006/08/11,2006/08/13,800.0,LV,40.0,42.0,,2006,new-jersey
Zogby Interactive*,2006/08/15,2006/08/21,715.0,LV,41.0,43.0,,2006,new-jersey
Fairleigh Dickinson,2006/08/21,2006/08/27,651.0,RV,43.0,39.0,,2006,new-jersey
Rasmussen,2006/08/28,2006/08/28,500.0,LV,44.0,39.0,,2006,new-jersey
Zogby Interactive*,2006/08/29,2006/09/05,761.0,LV,40.0,40.0,,2006,new-jersey
Strategic Vision (R),2006/09/08,2006/09/10,800.0,LV,44.0,40.0,,2006,new-jersey
Quinnipiac,2006/09/13,2006/09/18,688.0,LV,48.0,45.0,,2006,new-jersey
Monmouth/Gannett,2006/09/18,2006/09/21,391.0,LV,44.0,38.0,,2006,new-jersey
Rasmussen,2006/09/22,2006/09/22,500.0,LV,41.0,40.0,,2006,new-jersey
Zogby Interactive*,2006/09/19,2006/09/25,,,41.0,47.0,,2006,new-jersey
Rutgers-Eagleton,2006/09/24,2006/09/26,404.0,LV,44.0,45.0,,2006,new-jersey
