pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
Rasmussen Reports,2014/08/27,2014/08/28,750,LV,58,29,,2014,oklahoma
CBS News/NYT/YouGov,2014/09/20,2014/10/01,1244,LV,65,24,,2014,oklahoma
Sooner Poll/News 9/News on 6*,2014/09/27,2014/09/29,400,LV,56,28,,2014,oklahoma
Sooner Poll/News 9/News on 6*,2014/08/28,2014/08/30,603,LV,58,28,,2014,oklahoma
CBS News/NYT/YouGov,2014/08/18,2014/09/02,821,LV,61,28,,2014,oklahoma
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,57,34,,2014,oklahoma
CBS News/NYT/YouGov,2014/10/16,2014/10/23,974,LV,55,33,,2014,tennessee
Rasmussen Reports,2014/08/11,2014/08/12,750,LV,47,32,,2014,tennessee
CBS News/NYT/YouGov,2014/09/20,2014/10/01,1007,LV,53,32,,2014,tennessee
CBS News/NYT/YouGov,2014/08/18,2014/09/02,1056,LV,47,32,,2014,tennessee
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,48,33,,2014,tennessee
Rasmussen Reports,2014/04/29,2014/04/30,750,LV,51,25,,2014,tennessee
FOX 2 Detroit/Mitchell*,2014/11/02,2014/11/02,1224,LV,40,52,,2014,michigan
PPP (D)*,2014/11/01,2014/11/02,914,LV,38,51,,2014,michigan
EPIC-MRA,2014/10/26,2014/10/28,600,LV,35,50,,2014,michigan
Detroit News*,2014/10/22,2014/10/24,600,LV,33,48,,2014,michigan
Rasmussen Reports,2014/10/20,2014/10/22,1000,LV,42,51,,2014,michigan
FOX 2 Detroit/Mitchell*,2014/10/27,2014/10/27,1159,LV,38,52,,2014,michigan
CBS News/NYT/YouGov,2014/10/16,2014/10/23,2394,LV,41,49,,2014,michigan
EPIC-MRA,2014/10/17,2014/10/19,600,LV,34,45,,2014,michigan
FOX 2 Detroit/Mitchell*,2014/10/19,2014/10/19,919,LV,38,51,,2014,michigan
FOX 2 Detroit/Mitchell*,2014/10/12,2014/10/12,1340,LV,39,50,,2014,michigan
FOX 2 Detroit/Mitchell*,2014/10/09,2014/10/09,1306,LV,43,48,,2014,michigan
Detroit News*,2014/10/02,2014/10/04,600,LV,35,44,,2014,michigan
MRG (R),2014/09/30,2014/10/01,600,LV,36,47,,2014,michigan
FOX 2 Detroit/Mitchell*,2014/09/29,2014/09/29,1178,LV,36,49,,2014,michigan
CBS News/NYT/YouGov,2014/09/20,2014/10/01,2560,LV,41,46,,2014,michigan
EPIC-MRA*,2014/09/25,2014/09/29,600,LV,33,42,,2014,michigan
Target-Insyght/MIRS,2014/09/22,2014/09/24,600,LV,38,48,,2014,michigan
WeAskAmerica*,2014/09/18,2014/09/19,1182,LV,39,42,,2014,michigan
Rasmussen Reports,2014/09/17,2014/09/18,750,LV,39,41,,2014,michigan
Magellan Strategies (R)*,2014/09/14,2014/09/15,717,LV,40,45,,2014,michigan
Mitchell Research*,2014/09/14,2014/09/14,829,LV,41,43,,2014,michigan
Vanguard/Denno Research (D),2014/09/11,2014/09/13,600,LV,38,45,,2014,michigan
USA Today/Suffolk*,2014/09/06,2014/09/10,500,LV,37,46,,2014,michigan
PPP (D),2014/09/04,2014/09/07,687,LV,40,45,,2014,michigan
Detroit News,2014/09/03,2014/09/05,600,LV,37,47,,2014,michigan
CBS News/NYT/YouGov,2014/08/18,2014/09/02,2897,LV,43,42,,2014,michigan
Mitchell Research,2014/08/27,2014/08/27,1004,LV,44,46,,2014,michigan
EPIC-MRA,2014/08/22,2014/08/25,600,LV,39,45,,2014,michigan
Harper (R),2014/08/04,2014/08/05,549,LV,44,45,,2014,michigan
Mitchell Research,2014/08/05,2014/08/05,626,LV,44,45,,2014,michigan
Rasmussen Reports,2014/07/28,2014/07/29,750,LV,39,45,,2014,michigan
MRG (R),2014/07/26,2014/07/30,600,LV,40,47,,2014,michigan
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,48,47,,2014,michigan
EPIC-MRA,2014/07/12,2014/07/15,600,LV,36,45,,2014,michigan
Mitchell Research,2014/07/07,2014/07/17,600,LV,38,43,,2014,michigan
Vanguard/Denno Research (D),2014/07/09,2014/07/11,600,LV,37,40,,2014,michigan
NBC News/Marist,2014/07/07,2014/07/10,870,RV,37,43,,2014,michigan
PPP (D),2014/06/26,2014/06/29,578,RV,36,41,,2014,michigan
Magellan Strategies (R),2014/06/05,2014/06/08,753,LV,41,50,,2014,michigan
Mitchell Research,2014/06/06,2014/06/06,961,LV,42,45,,2014,michigan
Detroit News,2014/05/20,2014/05/22,600,LV,35,40,,2014,michigan
EPIC-MRA,2014/05/17,2014/05/20,600,LV,38,44,,2014,michigan
CEA/Hickman Analytics (D),2014/04/24,2014/04/30,502,LV,37,42,,2014,michigan
Magellan Strategies (R),2014/04/14,2014/04/15,875,LV,41,46,,2014,michigan
Mitchell Research,2014/04/09,2014/04/09,1460,LV,44,38,,2014,michigan
PPP (D),2014/04/03,2014/04/06,825,RV,36,41,,2014,michigan
MRG (R),2014/03/24,2014/03/28,600,LV,40,38,,2014,michigan
LE\u0026amp;A/Denno Research (D),2014/03/09,2014/03/10,600,LV,37,40,,2014,michigan
EPIC-MRA,2014/02/05,2014/02/11,600,LV,41,38,,2014,michigan
Rasmussen Reports,2014/01/14,2014/01/15,500,LV,37,35,,2014,michigan
Harper (R),2014/01/07,2014/01/08,1004,LV,44,36,,2014,michigan
PPP (D),2013/12/05,2013/12/08,1034,RV,42,40,,2014,michigan
LE\u0026amp;A/Denno Research (D),2013/11/12,2013/11/14,600,LV,36,37,,2014,michigan
Inside Michigan Politics,2013/10/29,2013/10/29,794,LV,38,43,,2014,michigan
EPIC-MRA,2013/09/07,2013/09/10,600,LV,37,38,,2014,michigan
LE\u0026amp;A/Denno Research (D),2013/07/23,2013/07/24,600,LV,39,39,,2014,michigan
PPP (D),2013/05/30,2013/06/02,697,RV,36,41,,2014,michigan
Mitchell Research,2013/03/19,2013/03/21,571,LV,32,33,,2014,michigan
Harper (R),2013/03/09,2013/03/10,1744,LV,29,21,,2014,michigan
PPP (D)*,2014/11/01,2014/11/02,1064,LV,41,51,,2014,illinois
Chicago Sun-Times*,2014/10/28,2014/10/28,823,LV,39,49,,2014,illinois
CBS News/NYT/YouGov,2014/10/16,2014/10/23,3519,LV,39,52,,2014,illinois
Chicago Tribune*,2014/10/16,2014/10/21,800,LV,36,50,,2014,illinois
The Simon Poll/SIU*,2014/09/23,2014/10/15,691,LV,37,47,,2014,illinois
CBS News/NYT/YouGov,2014/09/20,2014/10/01,3955,LV,39,51,,2014,illinois
Rasmussen Reports,2014/09/24,2014/09/25,750,LV,37,51,,2014,illinois
Chicago Tribune*,2014/09/03,2014/09/12,800,RV,32,55,,2014,illinois
Sun-Times/WeAskAmerica*,2014/08/27,2014/08/27,1054,LV,41,48,,2014,illinois
CBS News/NYT/YouGov,2014/08/18,2014/09/02,4363,LV,38,50,,2014,illinois
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,43,51,,2014,illinois
Rasmussen Reports,2014/04/09,2014/04/10,750,LV,37,51,,2014,illinois
PPP (D),2013/11/22,2013/11/25,557,RV,36,51,,2014,illinois
NBC News/Marist*,2014/10/27,2014/10/30,556,LV,50,41,,2014,kentucky
PPP (D)*,2014/10/30,2014/11/01,1503,LV,50,42,,2014,kentucky
Courier-Journal/SurveyUSA*,2014/10/25,2014/10/29,597,LV,48,43,,2014,kentucky
CBS News/NYT/YouGov*,2014/10/16,2014/10/23,1502,LV,45,39,,2014,kentucky
Rasmussen Reports,2014/10/15,2014/10/16,1000,LV,52,44,,2014,kentucky
Courier-Journal/SurveyUSA*,2014/10/15,2014/10/19,655,LV,44,43,,2014,kentucky
Western Kentucky Univ.*,2014/10/06,2014/10/19,,LV,45,42,,2014,kentucky
FOX News*,2014/10/04,2014/10/07,706,LV,45,41,,2014,kentucky
Courier-Journal/SurveyUSA*,2014/09/29,2014/10/02,632,LV,44,46,,2014,kentucky
CBS News/NYT/YouGov*,2014/09/20,2014/10/01,1689,LV,47,41,,2014,kentucky
Reuters/Ipsos,2014/09/08,2014/09/12,944,LV,46,42,,2014,kentucky
NBC News/Marist*,2014/09/02,2014/09/04,691,LV,47,39,,2014,kentucky
Rasmussen Reports,2014/09/01,2014/09/02,750,LV,46,41,,2014,kentucky
CNN/Opinion Research,2014/08/28,2014/09/01,671,LV,50,46,,2014,kentucky
CBS News/NYT/YouGov,2014/08/18,2014/09/02,2130,LV,47,42,,2014,kentucky
Courier-Journal/SurveyUSA*,2014/08/25,2014/08/27,569,LV,46,42,,2014,kentucky
PPP (D),2014/08/07,2014/08/10,991,LV,47,42,,2014,kentucky
Courier-Journal/SurveyUSA,2014/07/18,2014/07/23,604,LV,47,45,,2014,kentucky
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,50,46,,2014,kentucky
Magellan Strategies (R),2014/06/04,2014/06/05,808,LV,46,49,,2014,kentucky
Rasmussen Reports,2014/05/28,2014/05/29,750,LV,48,41,,2014,kentucky
Wenzel Strategies (R),2014/05/23,2014/05/24,608,LV,47,44,,2014,kentucky
Courier-Journal/SurveyUSA*,2014/05/14,2014/05/16,1475,LV,42,43,,2014,kentucky
NBC News/Marist,2014/04/30,2014/05/06,2353,RV,46,45,,2014,kentucky
CEA/Hickman Analytics (D),2014/04/24,2014/04/30,500,LV,46,45,,2014,kentucky
NY Times/Kaiser,2014/04/08,2014/04/15,891,RV,44,43,,2014,kentucky
Wenzel Strategies (R),2014/02/08,2014/02/11,1002,LV,43,42,,2014,kentucky
Courier-Journal/SurveyUSA,2014/01/30,2014/02/03,1082,RV,42,46,,2014,kentucky
Rasmussen Reports,2014/01/29,2014/01/30,500,LV,42,42,,2014,kentucky
PPP (D),2013/12/12,2013/12/15,1509,RV,43,42,,2014,kentucky
Wenzel Strategies (R),2013/07/23,2013/07/24,624,LV,48,40,,2014,kentucky
Wenzel Strategies (R),2013/06/01,2013/06/02,623,LV,47,40,,2014,kentucky
PPP (D),2013/04/05,2013/04/07,1052,RV,45,41,,2014,kentucky
PPP (D),2012/12/07,2012/12/09,1266,RV,47,40,,2014,kentucky
KSTP/SurveyUSA*,2014/10/27,2014/10/30,596,LV,40,51,,2014,minnesota
Star Tribune/Mason-Dixon*,2014/10/20,2014/10/22,800,LV,39,48,,2014,minnesota
CBS News/NYT/YouGov,2014/10/16,2014/10/23,2430,LV,41,51,,2014,minnesota
KSTP/SurveyUSA*,2014/10/14,2014/10/16,597,LV,38,53,,2014,minnesota
KSTP/SurveyUSA*,2014/09/30,2014/10/02,577,LV,37,55,,2014,minnesota
CBS News/NYT/YouGov,2014/09/20,2014/10/01,2562,LV,42,49,,2014,minnesota
Rasmussen Reports,2014/09/29,2014/09/30,750,LV,41,49,,2014,minnesota
Star Tribune/Mason-Dixon*,2014/09/08,2014/09/10,800,LV,36,49,,2014,minnesota
CBS News/NYT/YouGov,2014/08/18,2014/09/02,3607,LV,41,49,,2014,minnesota
KSTP/SurveyUSA*,2014/08/19,2014/08/21,600,LV,42,51,,2014,minnesota
Rasmussen Reports,2014/08/13,2014/08/14,750,LV,42,50,,2014,minnesota
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,41,55,,2014,minnesota
PPP (D),2014/06/12,2014/06/15,633,RV,38,49,,2014,minnesota
KSTP/SurveyUSA*,2014/06/05,2014/06/09,1017,LV,42,48,,2014,minnesota
Suffolk*,2014/04/24,2014/04/28,800,LV,29,44,,2014,minnesota
KSTP/SurveyUSA,2014/02/25,2014/02/27,545,RV,40,50,,2014,minnesota
PPP (D),2013/10/27,2013/10/29,895,RV,38,49,,2014,minnesota
PPP (D),2013/05/17,2013/05/19,712,RV,36,51,,2014,minnesota
CBS News/NYT/YouGov,2014/10/16,2014/10/23,1002,LV,18,70,,2014,hawaii
Honolulu Civil Beat/MRG,2014/10/16,2014/10/19,1221,LV,29,55,,2014,hawaii
Rasmussen Reports,2014/09/09,2014/09/10,750,LV,28,60,,2014,hawaii
CBS News/NYT/YouGov,2014/09/20,2014/10/01,1319,LV,17,71,,2014,hawaii
Honolulu Civil Beat/MRG,2014/09/11,2014/09/14,1055,LV,25,62,,2014,hawaii
CBS News/NYT/YouGov,2014/08/18,2014/09/02,655,LV,27,62,,2014,hawaii
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,22,58,,2014,hawaii
PPP (D),2014/10/30,2014/11/01,887,LV,38,52,,2014,massachusetts
Suffolk/Boston Herald,2014/10/27,2014/10/29,500,LV,34,49,,2014,massachusetts
Western NE University,2014/10/21,2014/10/30,430,LV,34,54,,2014,massachusetts
WBUR/MassINC,2014/10/22,2014/10/25,494,LV,32,57,,2014,massachusetts
UMass Amherst/WBZ,2014/10/20,2014/10/27,591,LV,37,53,,2014,massachusetts
CBS News/NYT/YouGov,2014/10/16,2014/10/23,2218,LV,32,54,,2014,massachusetts
WBUR/MassINC,2014/10/01,2014/10/04,504,LV,30,56,,2014,massachusetts
CBS News/NYT/YouGov,2014/09/20,2014/10/01,2389,LV,31,54,,2014,massachusetts
Suffolk/Boston Herald,2014/09/25,2014/09/28,500,LV,30,54,,2014,massachusetts
Western NE University,2014/09/20,2014/09/28,416,LV,34,56,,2014,massachusetts
WBUR/MassINC,2014/09/16,2014/09/21,502,LV,30,58,,2014,massachusetts
Rasmussen Reports,2014/09/16,2014/09/17,750,LV,31,49,,2014,massachusetts
Boston Globe,2014/09/14,2014/09/16,407,LV,27,53,,2014,massachusetts
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,34,61,,2014,massachusetts
CBS News/NYT/YouGov,2014/10/16,2014/10/23,258,LV,67,27,,2014,wyoming
Rasmussen Reports,2014/08/20,2014/08/21,700,LV,63,27,,2014,wyoming
CBS News/NYT/YouGov,2014/09/20,2014/10/01,264,LV,75,17,,2014,wyoming
CBS News/NYT/YouGov,2014/08/18,2014/09/02,350,LV,66,21,,2014,wyoming
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,68,23,,2014,wyoming
Christopher Newport Univ.*,2014/10/23,2014/10/29,634,LV,44,51,,2014,virginia
Roanoke College*,2014/10/20,2014/10/25,738,LV,35,47,,2014,virginia
CBS News/NYT/YouGov*,2014/10/16,2014/10/23,1605,LV,39,49,,2014,virginia
Univ. of Mary Washington*,2014/10/01,2014/10/06,444,LV,37,47,,2014,virginia
Christopher Newport Univ.*,2014/09/29,2014/10/05,690,LV,39,51,,2014,virginia
CBS News/NYT/YouGov*,2014/09/20,2014/10/01,1656,LV,39,51,,2014,virginia
PPP (D),2014/09/22,2014/09/23,625,LV,37,49,,2014,virginia
Quinnipiac,2014/09/17,2014/09/22,1010,LV,41,50,,2014,virginia
Roanoke College*,2014/09/13,2014/09/19,630,LV,29,49,,2014,virginia
Christopher Newport Univ.*,2014/09/02,2014/09/07,713,LV,31,53,,2014,virginia
CBS News/NYT/YouGov,2014/08/18,2014/09/02,1635,LV,39,51,,2014,virginia
Hampton* University,2014/07/27,2014/07/30,804,LV,32,55,,2014,virginia
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,43,53,,2014,virginia
Roanoke College*,2014/07/14,2014/07/19,566,RV,22,47,,2014,virginia
Rasmussen Reports,2014/06/11,2014/06/12,750,LV,36,53,,2014,virginia
Quinnipiac*,2014/03/19,2014/03/24,1288,RV,31,46,,2014,virginia
Roanoke College,2014/02/22,2014/02/28,707,RV,29,56,,2014,virginia
Rasmussen Reports,2014/01/20,2014/01/21,1000,LV,37,51,,2014,virginia
Christopher Newport Univ.,2014/01/15,2014/01/22,1023,RV,30,50,,2014,virginia
Roanoke College,2014/01/13,2014/01/17,553,RV,21,50,,2014,virginia
WFB/The Polling Company (R),2013/11/19,2013/11/20,600,RV,33,51,,2014,virginia
PPP (D)*,2014/11/01,2014/11/02,739,LV,48,45,,2014,colorado
Quinnipiac*,2014/10/28,2014/11/02,815,LV,45,43,,2014,colorado
Denver Post/SurveyUSA*,2014/10/27,2014/10/29,618,LV,46,44,,2014,colorado
YouGov,2014/10/25,2014/10/31,1417,LV,43,42,,2014,colorado
Rasmussen Reports,2014/10/21,2014/10/23,966,LV,51,45,,2014,colorado
NBC News/Marist,2014/10/18,2014/10/22,755,LV,46,45,,2014,colorado
Quinnipiac*,2014/10/22,2014/10/27,844,LV,46,39,,2014,colorado
CBS News/NYT/YouGov,2014/10/16,2014/10/23,1611,LV,46,47,,2014,colorado
USA Today/Suffolk*,2014/10/18,2014/10/21,500,LV,46,39,,2014,colorado
PPP (D),2014/10/16,2014/10/19,778,LV,47,44,,2014,colorado
Quinnipiac*,2014/10/15,2014/10/21,974,LV,46,41,,2014,colorado
Reuters/Ipsos,2014/10/13,2014/10/20,1099,LV,47,45,,2014,colorado
CNN/Opinion Research,2014/10/09,2014/10/13,665,LV,50,46,,2014,colorado
Denver Post/SurveyUSA*,2014/10/09,2014/10/12,591,LV,45,43,,2014,colorado
Quinnipiac*,2014/10/08,2014/10/13,988,LV,47,41,,2014,colorado
High Point/SurveyUSA,2014/10/04,2014/10/08,800,LV,46,42,,2014,colorado
FOX News,2014/10/04,2014/10/07,739,LV,43,37,,2014,colorado
CBS News/NYT/YouGov,2014/09/20,2014/10/01,1634,LV,45,48,,2014,colorado
Rasmussen Reports,2014/09/29,2014/09/30,950,LV,48,47,,2014,colorado
USA Today/Suffolk*,2014/09/13,2014/09/16,500,LV,43,42,,2014,colorado
Quinnipiac*,2014/09/10,2014/09/15,1211,LV,48,40,,2014,colorado
Denver Post/SurveyUSA*,2014/09/08,2014/09/10,664,LV,42,46,,2014,colorado
Rasmussen Reports,2014/09/03,2014/09/04,800,LV,42,44,,2014,colorado
NBC News/Marist,2014/09/02,2014/09/04,795,LV,42,48,,2014,colorado
CBS News/NYT/YouGov,2014/08/18,2014/09/02,1727,LV,43,46,,2014,colorado
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,47,51,,2014,colorado
PPP (D),2014/07/17,2014/07/20,653,RV,43,44,,2014,colorado
Quinnipiac,2014/07/10,2014/07/14,1147,RV,44,42,,2014,colorado
NBC News/Marist,2014/07/07,2014/07/10,914,RV,41,48,,2014,colorado
Rasmussen Reports,2014/06/25,2014/06/26,750,LV,42,43,,2014,colorado
Magellan Strategies (R),2014/06/05,2014/06/08,747,LV,47,45,,2014,colorado
PPP (D),2014/05/07,2014/05/08,526,RV,43,47,,2014,colorado
Magellan Strategies (R),2014/04/14,2014/04/15,717,LV,42,45,,2014,colorado
Quinnipiac,2014/04/15,2014/04/21,1298,RV,44,45,,2014,colorado
PPP (D),2014/03/13,2014/03/16,568,RV,40,42,,2014,colorado
Rasmussen Reports,2014/03/05,2014/03/06,500,LV,41,42,,2014,colorado
CBS News/NYT/YouGov,2014/10/16,2014/10/23,681,LV,59,30,,2014,nebraska
Rasmussen Reports,2014/05/14,2014/05/15,750,LV,51,34,,2014,nebraska
CBS News/NYT/YouGov,2014/09/20,2014/10/01,721,LV,58,31,,2014,nebraska
CBS News/NYT/YouGov,2014/08/18,2014/09/02,987,LV,56,30,,2014,nebraska
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,58,35,,2014,nebraska
Rasmussen Reports,2014/04/07,2014/04/08,750,LV,52,27,,2014,nebraska
PPP (D)*,2014/11/01,2014/11/03,963,LV,46,,47,2014,kansas
FOX News*,2014/10/28,2014/10/30,907,LV,43,,44,2014,kansas
YouGov*,2014/10/25,2014/10/31,1137,LV,38,,37,2014,kansas
SurveyUSA*,2014/10/22,2014/10/26,623,LV,42,,44,2014,kansas
NBC News/Marist*,2014/10/18,2014/10/22,757,LV,44,,45,2014,kansas
CBS News/NYT/YouGov*,2014/10/16,2014/10/23,1973,LV,42,,38,2014,kansas
Rasmussen Reports,2014/10/20,2014/10/21,960,LV,44,,49,2014,kansas
Remington Research Group (R)*,2014/10/09,2014/10/12,1091,LV,48,,46,2014,kansas
PPP (D),2014/10/09,2014/10/12,1081,LV,43,,46,2014,kansas
FOX News*,2014/10/04,2014/10/07,702,LV,44,,39,2014,kansas
CNN/Opinion Research,2014/10/02,2014/10/06,687,LV,49,,48,2014,kansas
SurveyUSA*,2014/10/02,2014/10/05,549,LV,42,,47,2014,kansas
NBC News/Marist*,2014/09/27,2014/10/01,636,LV,38,,48,2014,kansas
CBS News/NYT/YouGov*,2014/09/20,2014/10/01,2013,LV,40,,40,2014,kansas
USA Today/Suffolk*,2014/09/27,2014/09/30,500,LV,41,,46,2014,kansas
Rasmussen Reports**,2014/09/16,2014/09/17,750,LV,40,,45,2014,kansas
FOX News,2014/09/14,2014/09/16,604,LV,42,,48,2014,kansas
PPP (D),2014/09/11,2014/09/14,1328,LV,36,,46,2014,kansas
PPP (D),2014/08/14,2014/08/17,903,LV,33,,43,2014,kansas
PPP (D)*,2014/11/01,2014/11/02,1052,LV,46,45,,2014,alaska
Rasmussen Reports,2014/10/27,2014/10/30,887,LV,47,42,,2014,alaska
Ivan Moore Research,2014/10/24,2014/10/26,544,LV,42,48,,2014,alaska
CBS News/NYT/YouGov,2014/10/16,2014/10/23,561,LV,48,44,,2014,alaska
FOX News*,2014/10/04,2014/10/07,706,LV,44,40,,2014,alaska
CNN/Opinion Research,2014/10/01,2014/10/06,704,LV,50,44,,2014,alaska
Rasmussen Reports,2014/10/08,2014/10/12,700,LV,48,45,,2014,alaska
CBS News/NYT/YouGov,2014/09/20,2014/10/01,593,LV,48,42,,2014,alaska
Rasmussen Reports,2014/09/23,2014/09/24,750,LV,48,43,,2014,alaska
PPP (D),2014/09/18,2014/09/21,880,LV,45,42,,2014,alaska
CBS News/NYT/YouGov,2014/08/18,2014/09/02,412,LV,44,38,,2014,alaska
Rasmussen Reports,2014/08/20,2014/08/21,750,LV,47,45,,2014,alaska
PPP (D),2014/07/31,2014/08/03,673,RV,41,45,,2014,alaska
CBS News/NYT/YouGov,2014/07/05,2014/07/24,,LV,37,49,,2014,alaska
PPP (D)**,2014/05/08,2014/05/11,582,RV,37,42,,2014,alaska
Magellan Strategies (R),2014/04/14,2014/04/14,603,LV,46,41,,2014,alaska
Rasmussen Reports,2014/03/19,2014/03/20,750,LV,44,44,,2014,alaska
PPP (D)**,2014/01/30,2014/02/01,850,RV,37,41,,2014,alaska
PPP (D),2013/07/25,2013/07/28,890,RV,39,46,,2014,alaska
PPP (D),2013/02/04,2013/02/05,1129,RV,41,47,,2014,alaska
Rasmussen Reports,2014/12/02,2014/12/04,1000,LV,56,40,,2014,louisiana
WPA Research (R),2014/11/24,2014/11/25,500,LV,57,33,,2014,louisiana
JMC Analytics,2014/11/20,2014/11/20,754,LV,55,40,,2014,louisiana
IWV/GEB International (R),2014/11/20,2014/11/20,850,LV,60,34,,2014,louisiana
Rasmussen Reports,2014/11/16,2014/11/19,1000,LV,56,41,,2014,louisiana
Vox Populi (R),2014/11/16,2014/11/17,761,LV,53,42,,2014,louisiana
Gravis Marketing,2014/11/12,2014/11/14,643,LV,59,38,,2014,louisiana
PPP (D),2014/10/30,2014/11/01,1003,LV,48,47,,2014,louisiana
NBC News/Marist,2014/10/27,2014/10/30,630,LV,50,45,,2014,louisiana
USA Today/Suffolk,2014/10/23,2014/10/26,500,LV,48,41,,2014,louisiana
University of New Orleans,2014/10/11,2014/10/24,292,LV,51,43,,2014,louisiana
Rasmussen Reports,2014/10/22,2014/10/23,988,LV,50,46,,2014,louisiana
CBS News/NYT/YouGov,2014/10/16,2014/10/23,1316,LV,46,42,,2014,louisiana
