pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
Remington Research (R),2024/06/29,2024/07/01,601,RV,46,48,,2024,nevada
The Hill/Emerson,2024/06/13,2024/06/18,1000,RV,38,50,,2024,nevada
Fabrizio/Anzalone,2024/06/12,2024/06/18,600,LV,42,47,,2024,nevada
NY Times/Siena,2024/04/28,2024/05/09,614,LV,41,41,,2024,nevada
The Hill/Emerson,2024/04/25,2024/04/29,1000,RV,37,45,,2024,nevada
The Hill/Emerson,2024/03/12,2024/03/15,1000,RV,39,41,,2024,nevada
Noble Predictive Insights,2024/02/27,2024/03/05,829,RV,35,41,,2024,nevada
The Hill/Emerson,2024/02/16,2024/02/19,1000,RV,38,40,,2024,nevada
The Hill/Emerson,2024/09/12,2024/09/13,850,LV,51,40,,2024,missouri
The Hill/Emerson,2024/06/17,2024/06/19,1000,RV,47,38,,2024,missouri
Missouri Scout,2024/03/06,2024/03/08,713,LV,53,39,,2024,missouri
Emerson,2024/01/23,2024/01/28,1777,RV,43,30,,2024,missouri
Emerson,2023/10/01,2023/10/04,491,RV,45,32,,2024,missouri
Atlas Intel,2024/11/01,2024/11/04,752,LV,50,39,,2024,montana
The Hill/Emerson,2024/10/23,2024/10/25,1000,LV,50,46,,2024,montana
NY Times/Siena,2024/10/05,2024/10/08,656,LV,52,44,,2024,montana
Remington Research (R),2024/09/16,2024/09/20,,LV,52,44,,2024,montana
Fabrizio/Binder,2024/08/25,2024/08/29,600,LV,51,45,,2024,montana
Rasmussen Reports,2024/08/13,2024/08/20,835,LV,50,43,,2024,montana
KULR-TV (NBC),2024/08/10,2024/08/12,538,RV,51,45,,2024,montana
The Hill/Emerson,2024/08/05,2024/08/06,1000,LV,48,46,,2024,montana
Remington Research (R),2024/06/29,2024/07/01,,RV,50,45,,2024,montana
The Hill/Emerson,2024/02/26,2024/03/02,1000,RV,42,44,,2024,montana
KULR-TV/SurveyUSA,2024/02/12,2024/02/15,549,LV,40,49,,2024,montana
Emerson,2023/10/01,2023/10/04,447,RV,35,39,,2024,montana
Atlas Intel,2024/11/03,2024/11/04,869,LV,48,49,,2024,wisconsin
Trafalgar Group (R),2024/11/01,2024/11/03,1086,LV,48,48,,2024,wisconsin
InsiderAdvantage,2024/11/01,2024/11/02,800,LV,48,47,,2024,wisconsin
The Hill/Emerson,2024/10/30,2024/11/02,800,LV,45,51,,2024,wisconsin
NY Times/Siena,2024/10/25,2024/11/02,1305,LV,46,50,,2024,wisconsin
Marist,2024/10/27,2024/10/30,1330,LV,48,51,,2024,wisconsin
Echelon Insights,2024/10/27,2024/10/30,600,LV,48,49,,2024,wisconsin
AmGreatness/TIPP,2024/10/28,2024/10/30,831,LV,46,48,,2024,wisconsin
Rasmussen Reports,2024/10/25,2024/10/29,818,LV,47,47,,2024,wisconsin
CNN,2024/10/23,2024/10/28,736,LV,47,49,,2024,wisconsin
Morning Consult,2024/10/21,2024/10/30,,LV,47,49,,2024,wisconsin
USA Today/Suffolk,2024/10/20,2024/10/23,500,LV,44,46,,2024,wisconsin
Marquette,2024/10/16,2024/10/24,753,LV,49,51,,2024,wisconsin
Quinnipiac,2024/10/17,2024/10/21,1108,LV,48,49,,2024,wisconsin
Atlas Intel,2024/11/01,2024/11/02,728,LV,48,49,,2024,wisconsin
Atlas Intel,2024/10/30,2024/10/31,673,LV,49,49,,2024,wisconsin
Atlas Intel,2024/10/25,2024/10/29,1470,LV,48,49,,2024,wisconsin
InsiderAdvantage,2024/10/26,2024/10/27,800,LV,49,48,,2024,wisconsin
Emerson,2024/10/21,2024/10/22,800,LV,48,48,,2024,wisconsin
Trafalgar Group (R),2024/10/18,2024/10/20,1083,LV,49,48,,2024,wisconsin
Atlas Intel,2024/10/12,2024/10/17,932,LV,46,49,,2024,wisconsin
Rasmussen Reports,2024/10/09,2024/10/14,1004,LV,45,46,,2024,wisconsin
InsiderAdvantage,2024/10/08,2024/10/09,800,LV,47,48,,2024,wisconsin
The Hill/Emerson,2024/10/05,2024/10/08,1000,LV,46,50,,2024,wisconsin
Quinnipiac,2024/10/03,2024/10/07,1073,LV,46,50,,2024,wisconsin
Trafalgar Group (R),2024/09/28,2024/09/30,1079,LV,46,48,,2024,wisconsin
NY Times/Siena,2024/09/21,2024/09/26,680,LV,43,50,,2024,wisconsin
Atlas Intel,2024/09/20,2024/09/25,1077,LV,47,48,,2024,wisconsin
Cook Political Report,2024/09/19,2024/09/25,411,LV,47,49,,2024,wisconsin
Marquette,2024/09/18,2024/09/26,798,LV,46,53,,2024,wisconsin
Rasmussen Reports,2024/09/19,2024/09/22,1071,LV,45,49,,2024,wisconsin
Remington Research (R),2024/09/16,2024/09/20,,LV,47,49,,2024,wisconsin
The Hill/Emerson,2024/09/15,2024/09/18,1000,LV,46,49,,2024,wisconsin
Marist,2024/09/12,2024/09/17,1194,LV,48,51,,2024,wisconsin
Quinnipiac,2024/09/12,2024/09/16,1075,LV,47,51,,2024,wisconsin
Fabrizio/Anzalone,2024/09/11,2024/09/14,600,LV,47,50,,2024,wisconsin
CBS News,2024/09/03,2024/09/06,958,RV,43,51,,2024,wisconsin
Marquette,2024/08/28,2024/09/05,738,LV,47,52,,2024,wisconsin
Trafalgar Group (R),2024/08/28,2024/08/30,1083,LV,44,50,,2024,wisconsin
CNN,2024/08/23,2024/08/29,976,LV,45,51,,2024,wisconsin
The Hill/Emerson,2024/08/25,2024/08/28,850,LV,48,49,,2024,wisconsin
Rasmussen Reports,2024/08/13,2024/08/19,1099,LV,42,52,,2024,wisconsin
AmGreatness/TIPP,2024/08/12,2024/08/14,1015,RV,42,50,,2024,wisconsin
NY Times/Siena,2024/08/05,2024/08/08,661,LV,44,51,,2024,wisconsin
Cook Political Report,2024/07/26,2024/08/02,404,LV,43,50,,2024,wisconsin
Marquette,2024/07/24,2024/08/01,801,LV,47,52,,2024,wisconsin
FOX News,2024/07/22,2024/07/24,1046,RV,43,54,,2024,wisconsin
The Hill/Emerson,2024/07/22,2024/07/23,845,RV,43,49,,2024,wisconsin
PPP (D),2024/07/10,2024/07/11,548,RV,43,51,,2024,wisconsin
Rasmussen Reports,2024/07/05,2024/07/12,1020,LV,43,47,,2024,wisconsin
The Times/SAY,2024/07/04,2024/07/12,900,RV,43,50,,2024,wisconsin
AmGreatness/NSOR,2024/07/06,2024/07/10,600,LV,41,49,,2024,wisconsin
Remington Research (R),2024/06/29,2024/07/01,539,RV,48,48,,2024,wisconsin
Fabrizio/Anzalone,2024/06/28,2024/07/02,600,LV,45,50,,2024,wisconsin
Marquette,2024/06/12,2024/06/20,871,RV,38,45,,2024,wisconsin
The Hill/Emerson,2024/06/13,2024/06/18,1000,RV,44,46,,2024,wisconsin
Cook Political Report,2024/05/06,2024/05/13,503,LV,37,49,,2024,wisconsin
Quinnipiac,2024/05/02,2024/05/06,1457,RV,42,54,,2024,wisconsin
NY Times/Siena,2024/04/28,2024/05/09,614,LV,42,49,,2024,wisconsin
The Hill/Emerson,2024/04/25,2024/04/29,1000,RV,43,46,,2024,wisconsin
CBS News,2024/04/19,2024/04/25,1245,LV,41,48,,2024,wisconsin
Marquette,2024/04/03,2024/04/10,814,RV,47,52,,2024,wisconsin
The Hill/Emerson,2024/03/14,2024/03/18,1000,RV,42,45,,2024,wisconsin
The Hill/Emerson,2024/02/20,2024/02/24,1000,RV,39,46,,2024,wisconsin
CT Mirror/MassINC,2024/09/12,2024/09/18,800,LV,35,51,,2024,connecticut
Atlas Intel,2024/11/03,2024/11/04,1114,LV,48,49,,2024,michigan
Trafalgar Group (R),2024/11/01,2024/11/03,1079,LV,47,47,,2024,michigan
InsiderAdvantage,2024/11/01,2024/11/02,800,LV,48,48,,2024,michigan
The Hill/Emerson,2024/10/30,2024/11/02,790,LV,45,49,,2024,michigan
NY Times/Siena,2024/10/29,2024/11/02,998,LV,46,48,,2024,michigan
MNS/Mitchell Research,2024/10/29,2024/11/02,585,LV,48,50,,2024,michigan
Rasmussen Reports,2024/10/24,2024/11/01,908,LV,46,45,,2024,michigan
Marist,2024/10/27,2024/10/30,1214,LV,46,52,,2024,michigan
Echelon Insights,2024/10/27,2024/10/30,600,LV,46,48,,2024,michigan
Washington Post,2024/10/24,2024/10/28,1003,LV,45,48,,2024,michigan
FOX News,2024/10/24,2024/10/28,988,LV,47,51,,2024,michigan
USA Today/Suffolk,2024/10/24,2024/10/27,500,LV,45,47,,2024,michigan
Detroit Free Press,2024/10/24,2024/10/27,600,LV,42,47,,2024,michigan
Atlas Intel,2024/11/01,2024/11/02,1198,LV,47,49,,2024,michigan
Atlas Intel,2024/10/27,2024/10/30,1136,LV,46,50,,2024,michigan
MNS/Mitchell Research,2024/10/28,2024/10/29,,LV,49,47,,2024,michigan
Atlas Intel,2024/10/25,2024/10/29,983,LV,47,49,,2024,michigan
InsiderAdvantage,2024/10/26,2024/10/27,800,LV,48,48,,2024,michigan
Emerson,2024/10/25,2024/10/27,1000,LV,46,48,,2024,michigan
CNN,2024/10/23,2024/10/28,726,LV,42,48,,2024,michigan
Susquehanna,2024/10/23,2024/10/27,400,LV,47,48,,2024,michigan
Morning Consult,2024/10/21,2024/10/30,,LV,41,49,,2024,michigan
UMass Lowell,2024/10/16,2024/10/24,600,LV,39,48,,2024,michigan
Trafalgar Group (R),2024/10/18,2024/10/20,1090,LV,45,46,,2024,michigan
Quinnipiac,2024/10/17,2024/10/21,1108,LV,44,52,,2024,michigan
Atlas Intel,2024/10/12,2024/10/17,1529,LV,48,48,,2024,michigan
MNS/Mitchell Research,2024/10/14,2024/10/14,589,LV,43,47,,2024,michigan
Rasmussen Reports,2024/10/09,2024/10/14,1058,LV,44,44,,2024,michigan
MRG,2024/10/07,2024/10/11,600,LV,41,46,,2024,michigan
InsiderAdvantage,2024/10/08,2024/10/09,800,LV,45,46,,2024,michigan
The Hill/Emerson,2024/10/05,2024/10/08,950,LV,44,49,,2024,michigan
Quinnipiac,2024/10/03,2024/10/07,1007,LV,48,48,,2024,michigan
Fabrizio/Anzalone,2024/10/02,2024/10/08,600,LV,46,49,,2024,michigan
MIRS/MI News Source,2024/09/30,2024/09/30,709,LV,44,49,,2024,michigan
Trafalgar Group (R),2024/09/28,2024/09/30,1086,LV,47,47,,2024,michigan
NY Times/Siena,2024/09/21,2024/09/26,688,LV,42,47,,2024,michigan
Atlas Intel,2024/09/20,2024/09/25,918,LV,49,44,,2024,michigan
Cook Political Report,2024/09/19,2024/09/25,416,LV,46,50,,2024,michigan
Rasmussen Reports,2024/09/19,2024/09/22,1086,LV,43,47,,2024,michigan
Remington Research (R),2024/09/16,2024/09/20,,LV,43,50,,2024,michigan
USA Today/Suffolk,2024/09/16,2024/09/19,500,LV,43,45,,2024,michigan
The Hill/Emerson,2024/09/15,2024/09/18,875,LV,42,47,,2024,michigan
Marist,2024/09/12,2024/09/17,1138,LV,45,52,,2024,michigan
Quinnipiac,2024/09/12,2024/09/16,905,LV,46,51,,2024,michigan
UMass Lowell,2024/09/11,2024/09/19,650,LV,34,47,,2024,michigan
MIRS/MI News Source,2024/09/11,2024/09/11,580,LV,45,48,,2024,michigan
CBS News,2024/09/03,2024/09/06,1086,RV,41,48,,2024,michigan
Trafalgar Group (R),2024/08/28,2024/08/30,1089,LV,45,49,,2024,michigan
The Hill/Emerson,2024/08/25,2024/08/28,800,LV,41,47,,2024,michigan
CNN,2024/08/23,2024/08/29,708,LV,41,47,,2024,michigan
EPIC-MRA,2024/08/23,2024/08/26,600,LV,42,46,,2024,michigan
AmGreatness/TIPP,2024/08/20,2024/08/22,741,LV,39,49,,2024,michigan
Rasmussen Reports,2024/08/13,2024/08/17,1093,LV,43,45,,2024,michigan
Fabrizio/Anzalone,2024/08/07,2024/08/11,600,LV,44,47,,2024,michigan
NY Times/Siena,2024/08/05,2024/08/08,619,LV,43,46,,2024,michigan
Cook Political Report,2024/07/26,2024/08/02,406,LV,42,50,,2024,michigan
FOX News,2024/07/22,2024/07/24,1012,RV,46,51,,2024,michigan
The Hill/Emerson,2024/07/22,2024/07/23,800,RV,41,45,,2024,michigan
Rasmussen Reports,2024/07/05,2024/07/12,1025,LV,40,43,,2024,michigan
PPP (D),2024/07/10,2024/07/11,568,RV,35,45,,2024,michigan
The Times/SAY,2024/07/04,2024/07/12,1000,RV,39,48,,2024,michigan
Remington Research (R),2024/06/29,2024/07/01,584,RV,43,47,,2024,michigan
The Hill/Emerson,2024/06/13,2024/06/18,1000,RV,39,43,,2024,michigan
MNS/Mitchell Research,2024/06/03,2024/06/03,697,LV,33,36,,2024,michigan
MIRS/Mitchell Research,2024/05/20,2024/05/21,697,LV,36,40,,2024,michigan
The Hill/Emerson,2024/04/25,2024/04/29,1000,RV,40,42,,2024,michigan
MIRS/Mitchell Research,2024/03/15,2024/03/16,627,LV,37,37,,2024,michigan
The Hill/Emerson,2024/03/14,2024/03/18,1000,RV,39,41,,2024,michigan
EPIC-MRA,2024/02/13,2024/02/18,600,LV,38,39,,2024,michigan
Detroit News/Glengariff,2024/01/02,2024/01/06,600,LV,37,38,,2024,michigan
EPIC-MRA,2023/11/10,2023/11/16,600,LV,37,39,,2024,michigan
EPIC-MRA,2023/08/06,2023/08/11,600,LV,37,42,,2024,michigan
Emerson,2023/08/01,2023/08/02,1121,RV,38,44,,2024,michigan
MIRS/Mitchell Research,2023/07/11,2023/07/13,639,LV,38,44,,2024,michigan
UT Debate Comission*,2024/08/29,2024/09/19,526,RV,53,34,,2024,utah
Deseret News/HarrisX,2024/08/02,2024/08/09,800,RV,71,29,,2024,utah
Atlas Intel,2024/11/01,2024/11/04,2065,LV,41,53,,2024,minnesota
KSTP/SurveyUSA,2024/10/24,2024/10/28,728,LV,35,52,,2024,minnesota
Rasmussen Reports,2024/10/24,2024/10/26,959,LV,40,51,,2024,minnesota
MinnPost,2024/10/16,2024/10/22,1734,LV,40,52,,2024,minnesota
KSTP/SurveyUSA,2024/09/23,2024/09/26,646,LV,35,53,,2024,minnesota
Rasmussen Reports,2024/09/19,2024/09/22,993,LV,38,49,,2024,minnesota
Star Tribune/Mason-Dixon,2024/09/16,2024/09/18,800,LV,40,51,,2024,minnesota
KSTP/SurveyUSA,2024/08/27,2024/08/29,635,LV,36,50,,2024,minnesota
The Hill/Emerson,2024/06/13,2024/06/18,1000,RV,37,48,,2024,minnesota
KSTP/SurveyUSA,2024/06/12,2024/06/16,626,LV,35,49,,2024,minnesota
Atlas Intel,2024/11/01,2024/11/04,2434,LV,53,46,,2024,texas
Cygnal (R),2024/10/26,2024/10/28,600,LV,49,45,,2024,texas
Morning Consult,2024/10/22,2024/10/31,2120,LV,47,44,,2024,texas
NY Times/Siena,2024/10/23,2024/10/26,1180,LV,50,46,,2024,texas
Rasmussen Reports,2024/10/24,2024/10/25,1002,LV,47,43,,2024,texas
The Hill/Emerson,2024/10/18,2024/10/21,815,LV,48,47,,2024,texas
University of Texas,2024/10/02,2024/10/10,,LV,51,44,,2024,texas
Marist,2024/10/03,2024/10/07,1186,LV,51,46,,2024,texas
University of Houston,2024/09/26,2024/10/10,1329,LV,50,46,,2024,texas
NY Times/Siena,2024/09/29,2024/10/04,617,LV,48,44,,2024,texas
The Hill/Emerson,2024/09/22,2024/09/24,950,LV,49,45,,2024,texas
TX Hispanic Policy Foundation,2024/09/13,2024/09/18,1200,LV,48,45,,2024,texas
The Hill/Emerson,2024/09/03,2024/09/05,845,LV,48,44,,2024,texas
University of Texas*,2024/08/23,2024/08/31,1200,RV,44,36,,2024,texas
University of Houston*,2024/08/05,2024/08/16,1365,LV,47,45,,2024,texas
Remington Research (R),2024/06/29,2024/07/01,589,RV,53,43,,2024,texas
University of Houston*,2024/06/20,2024/07/01,1484,LV,47,44,,2024,texas
University of Texas,2024/05/31,2024/06/09,1200,RV,45,34,,2024,texas
University of Texas,2024/04/12,2024/04/22,1200,RV,46,33,,2024,texas
TX Hispanic Policy Foundation*,2024/04/05,2024/04/10,1600,LV,46,41,,2024,texas
Cygnal (R)*,2024/04/04,2024/04/06,1000,LV,45,36,,2024,texas
Marist,2024/03/18,2024/03/21,1117,RV,51,45,,2024,texas
University of Texas,2024/02/02,2024/02/12,1200,RV,46,32,,2024,texas
University of Houston*,2024/01/11,2024/01/24,1145,LV,48,39,,2024,texas
Emerson,2024/01/13,2024/01/15,1315,RV,42,40,,2024,texas
University of Texas,2023/12/01,2023/12/10,1200,RV,43,27,,2024,texas
The Hill/Emerson,2024/10/12,2024/10/14,1000,LV,33,56,,2024,california
LA Times/Berkeley IGS,2024/09/25,2024/10/01,3045,LV,36,53,,2024,california
The Hill/Emerson,2024/09/03,2024/09/05,815,LV,33,55,,2024,california
PPIC,2024/08/29,2024/09/09,1071,LV,35,63,,2024,california
LA Times/Berkeley IGS,2024/07/31,2024/08/11,3765,LV,33,53,,2024,california
PPIC,2024/06/24,2024/07/02,1261,LV,33,64,,2024,california
PPIC,2024/05/23,2024/06/02,1098,LV,37,62,,2024,california
PPIC,2024/03/19,2024/03/25,1089,LV,37,61,,2024,california
LA Times/Berkeley IGS,2024/02/22,2024/02/27,6534,RV,38,53,,2024,california
Morning Consult,2024/10/23,2024/11/01,472,LV,42,49,,2024,maryland
The Hill/Emerson,2024/10/19,2024/10/21,865,LV,40,54,,2024,maryland
Wash Post/Univ. of Maryland*,2024/09/19,2024/09/23,1012,LV,40,51,,2024,maryland
PPP (D),2024/09/16,2024/09/17,543,LV,37,52,,2024,maryland
The Hill/Emerson,2024/09/12,2024/09/13,890,LV,42,49,,2024,maryland
Gonzales Research,2024/08/24,2024/08/30,820,LV,41,46,,2024,maryland
Fabrizio/Anzalone,2024/08/14,2024/08/20,600,LV,46,46,,2024,maryland
PPP (D),2024/06/19,2024/06/20,635,RV,40,48,,2024,maryland
The Hill/Emerson,2024/05/06,2024/05/08,1115,RV,38,48,,2024,maryland
Baltimore Sun,2024/04/07,2024/04/10,1292,LV,54,36,,2024,maryland
Goucher College,2024/03/19,2024/03/24,800,RV,44,40,,2024,maryland
Wash Post/Univ. of Maryland,2024/03/05,2024/03/12,1004,RV,50,36,,2024,maryland
The Hill/Emerson,2024/02/12,2024/02/13,1000,RV,44,37,,2024,maryland
Indy Politics,2024/09/23,2024/09/25,600,LV,49,35,,2024,indiana
The Hill/Emerson*,2024/09/12,2024/09/13,1000,LV,47,33,,2024,indiana
Emerson,2023/10/01,2023/10/04,462,RV,31,22,,2024,indiana
Vanderbilt University,2024/04/26,2024/05/09,1003,RV,51,40,,2024,tennessee
Vanderbilt University,2023/11/14,2023/12/02,1005,RV,53,36,,2024,tennessee
Emerson,2023/10/01,2023/10/04,410,RV,50,26,,2024,tennessee
Cascade PBS/Elway,2024/09/03,2024/09/06,403,RV,33,55,,2024,washington
Cascade PBS/Elway,2024/05/13,2024/05/16,403,RV,30,39,,2024,washington
Cascade PBS/Elway,2023/10/30,2023/11/03,403,RV,23,43,,2024,washington
